"","locus_tag","gene","lengthnt","start","end","strand","product","Nakamura","Lawrence","hns","conservation"
"3855","","","",NA,NA,"","membrane fluffing","","","",""
"3856","b2001","yeeR","1539","2072797","2074335","+","orf, hypothetical protein","1","","","5"
"3857","b2002","yeeS","447","2074332","2074778","+","putative DNA repair","1","","","11"
"3858","","","",NA,NA,"","protein, RADC family","","","",""
"3859","b2003","yeeT","222","2074841","2075062","+","orf, hypothetical protein","","","","8"
"3860","b2004","yeeU","369","2075136","2075504","+","putative structural","1","","","11"
"3861","b2005","yeeV","375","2075593","2075967","+","orf, hypothetical protein","","","","11"
"3862","b2006","yeeW","195","2075964","2076158","+","orf, hypothetical protein","","","","5"
"3863","b2007","yeeX","396","2077056","2077451","-","putative alpha helix","","","","21"
"3864","b2008","yeeA","1059","2077557","2078615","-","orf, hypothetical protein","","","","13"
"3865","b2009","sbmC","474","2078813","2079286","-","SbmC protein","","","","11"
"3866","b2010","dacD","1173","2079405","2080577","-","penicillin binding protein","","","","9"
"3867","","","",NA,NA,"","6b","","","",""
"3868","b2011","sbcB","1428","2080780","2082207","+","exonuclease I, 3' --> 5'","","","","21"
"3869","","","",NA,NA,"","specific;","","","",""
"3870","","","",NA,NA,"","deoxyribophosphodiest","","","",""
"3871","","","",NA,NA,"","erase","","","",""
"3872","b2012","yeeD","228","2082250","2082477","-","orf, hypothetical protein","","","","9"
"3873","b2013","yeeE","1059","2082491","2083549","-","putative transport","","","1","7"
"3874","","","",NA,NA,"","system permease","","","",""
"3875","b2014","yeeF","1365","2083728","2085092","-","putative amino","","","","21"
"3876","","","",NA,NA,"","acid/amine transport","","","",""
"3877","b2015","yeeY","951","2085353","2086303","-","putative transcriptional","","","","15"
"3878","","","",NA,NA,"","regulator LYSR-type","","","",""
"3879","b2016","yeeZ","825","2086328","2087152","-","putative enzyme of","","","","21"
"3880","","","",NA,NA,"","sugar metabolism","","","",""
"3881","b2017","yefM","279","2087486","2087764","-","orf, hypothetical protein","1","","","12"
"3882","b2018","hisL","51","2088020","2088070","+","his operon leader","","","","1"
"3883","b2019","hisG","900","2088216","2089115","+","ATP","","","","21"
"3884","","","",NA,NA,"","phosphoribosyltransfera","","","",""
"3885","","","",NA,NA,"","se","","","",""
"3886","b2020","hisD","1305","2089121","2090425","+","L-histidinal:NAD+","","","","21"
"3887","","","",NA,NA,"","oxidoreductase; L-","","","",""
"3888","","","",NA,NA,"","histidinol:NAD+","","","",""
"3889","","","",NA,NA,"","oxidoreductase","","","",""
"3890","b2021","hisC","1071","2090422","2091492","+","histidinol-phosphate","","","","21"
"3891","","","",NA,NA,"","aminotransferase","","","",""
"3892","b2022","hisB","1071","2091489","2092559","+","imidazoleglycerolphosp","","","","21"
"3893","","","",NA,NA,"","hate dehydratase and","","","",""
"3894","","","",NA,NA,"","histidinol-phosphate","","","",""
"3895","","","",NA,NA,"","phosphatase","","","",""
"3896","b2023","hisH","591","2092559","2093149","+","glutamine","","","","21"
"3897","","","",NA,NA,"","amidotransferase","","","",""
"3898","","","",NA,NA,"","subunit of heterodimer","","","",""
"3899","","","",NA,NA,"","with HisF = imidazole","","","",""
"3900","","","",NA,NA,"","glycerol phosphate","","","",""
"3901","","","",NA,NA,"","synthase holoenzyme","","","",""
"3902","b2024","hisA","741","2093146","2093886","+","N-(5'-phospho-L-","","","","21"
"3903","","","",NA,NA,"","ribosyl-formimino)-5-","","","",""
"3904","","","",NA,NA,"","amino-1- (5'-","","","",""
"3905","","","",NA,NA,"","phosphoribosyl)-4-","","","",""
"3906","","","",NA,NA,"","imidazolecarboxamide","","","",""
"3907","b2025","hisF","777","2093868","2094644","+","imidazole glycerol","","","","21"
"3908","b2026","hisI","612","2094638","2095249","+","phosphoribosyl-amp","","","","21"
"3909","","","",NA,NA,"","cyclohydrolase;","","","",""
"3910","","","",NA,NA,"","phosphoribosyl-ATP","","","",""
"3911","","","",NA,NA,"","pyrophosphatase","","","",""
"3912","b2027","wzzB","1017","2095345","2096361","-","regulator of length of O-","","","1","15"
"3913","","","",NA,NA,"","antigen component of","","","",""
"3914","","","",NA,NA,"","lipopolysaccharide","","","",""
"3915","b2028","ugd","1167","2096471","2097637","-","UDP-glucose 6-","1","","1","19"
"3916","","","",NA,NA,"","dehydrogenase","","","",""
"3917","b2029","gnd","1407","2097886","2099292","-","gluconate-6-phosphate","","","1","21"
"3918","","","",NA,NA,"","dehydrogenase,","","","",""
"3919","","","",NA,NA,"","decarboxylating","","","",""
"3920","b2030","trs5_7","1017","2099919","2100935","-","IS5 transposase","1","1","1","2"
"3921","b2031","wbbL","474","2100940","2101413","-","putative","1","1","1","2"
"3922","","","",NA,NA,"","lipopolysaccharide","","","",""
"3923","","","",NA,NA,"","biosynthesis glycosyl","","","",""
"3924","","","",NA,NA,"","transferase","","","",""
"3925","b2032","wbbK","1119","2101415","2102533","-","putative glucose","1","1","1","2"
"3926","","","",NA,NA,"","transferase","","","",""
"3927","b2033","wbbJ","591","2102518","2103108","-","putative O-acetyl","1","1","1","5"
"3928","","","",NA,NA,"","transferase","","","",""
"3929","b2034","wbbI","993","2103089","2104081","-","putative Galf","1","1","1","2"
"3930","b2035","wbbH","1167","2104084","2105250","-","O-antigen polymerase","1","1","1","2"
"3931","b2036","glf","1104","2105250","2106353","-","UDP-galactopyranose","1","1","1","6"
"3932","","","",NA,NA,"","mutase","","","",""
"3933","b2037","rfbX","1248","2106361","2107608","-","putative O-antigen","1","1","1","6"
"3934","","","",NA,NA,"","transporter","","","",""
"3935","b2038","rfbC","558","2107605","2108162","-","dTDP-6-deoxy-D-","1","1","1","11"
"3936","","","",NA,NA,"","glucose-3,5 epimerase","","","",""
"3937","b2039","rfbA","882","2108162","2109043","-","glucose-1-phosphate","1","1","1","10"
"3938","","","",NA,NA,"","thymidylyltransferase","","","",""
"3939","b2040","rfbD","900","2109101","2110000","-","dTDP-6-deoxy-L-","1","1","1","11"
"3940","","","",NA,NA,"","mannose-","","","",""
"3941","b2041","rfbB","1086","2110000","2111085","-","dTDP-glucose 4,6","1","1","1","10"
"3942","","","",NA,NA,"","dehydratase","","","",""
"3943","b2042","galF","894","2111458","2112351","-","homolog of Salmonella","","","1","18"
"3944","","","",NA,NA,"","UTP--glucose-1-P","","","",""
"3945","","","",NA,NA,"","uridyltransferase,","","","",""
"3946","","","",NA,NA,"","probably a UDP-gal","","","",""
"3947","b2043","wcaM","1395","2112526","2113920","-","orf, hypothetical protein","","","","13"
"3948","b2044","wcaL","1221","2113931","2115151","-","putative colanic acid","","","","14"
"3949","","","",NA,NA,"","biosynthesis glycosyl","","","",""
"3950","","","",NA,NA,"","transferase","","","",""
"3951","b2045","wcaK","1281","2115148","2116428","-","putative galactokinase","","","","10"
"3952","b2046","wzxC","1479","2116704","2118182","-","probable export protein","","1","","13"
"3953","b2047","wcaJ","1395","2118184","2119578","-","putative colanic acid","","1","","16"
"3954","","","",NA,NA,"","biosynthsis UDP-","","","",""
"3955","","","",NA,NA,"","glucose lipid carrier","","","",""
"3956","b2048","cpsG","1371","2119633","2121003","-","phosphomannomutase","","","","19"
"3957","b2049","cpsB","1437","2121108","2122544","-","mannose-1-phosphate","","","","18"
"3958","","","",NA,NA,"","guanyltransferase","","","",""
"3959","b2050","wcaI","1224","2122547","2123770","-","putative colanic","","","","14"
"3960","","","",NA,NA,"","biosynthesis glycosyl","","","",""
"3961","","","",NA,NA,"","transferase","","","",""
"3962","b2051","wcaH","483","2123767","2124249","-","GDP-mannose","","","","14"
"3963","","","",NA,NA,"","mannosyl hydrolase","","","",""
"3964","b2052","wcaG","966","2124249","2125214","-","putative nucleotide di-","","","","17"
"3965","","","",NA,NA,"","P-sugar epimerase or","","","",""
"3966","","","",NA,NA,"","dehydratase","","","",""
"3967","b2053","gmd","1122","2125217","2126338","-","GDP-D-mannose","","","1","15"
"3968","","","",NA,NA,"","dehydratase","","","",""
"3969","b2054","wcaF","549","2126364","2126912","-","putative transferase","1","","1","14"
"3970","b2055","wcaE","747","2126928","2127674","-","putative colanic acid","1","","1","16"
"3971","","","",NA,NA,"","biosynthesis glycosyl","","","",""
"3972","","","",NA,NA,"","transferase","","","",""
"3973","b2056","wcaD","1218","2127685","2128902","-","putative colanic acid","1","","1","10"
"3974","","","",NA,NA,"","polymerase","","","",""
"3975","b2057","wcaC","1218","2128877","2130094","-","putative glycosyl","","","1","13"
"3976","","","",NA,NA,"","transferase","","","",""
"3977","b2058","wcaB","489","2130091","2130579","-","putative transferase","","","1","15"
"3978","b2059","wcaA","840","2130582","2131421","-","putative regulator","","","1","12"
"3979","b2060","wzc","2199","2131514","2133712","-","tyrosine-protein kinase","","","1","17"
"3980","b2061","wzb","444","2133679","2134122","-","low molecular weight","","","1","17"
"3981","","","",NA,NA,"","protein-tyrosine-","","","",""
"3982","","","",NA,NA,"","phosphatase","","","",""
"3983","b2062","wza","1140","2134128","2135267","-","putative polysaccharide","","","1","17"
"3984","","","",NA,NA,"","export protein","","","",""
"3985","b2063","yegH","1650","2135860","2137509","+","putative transport","","","1","21"
"3986","b2064","asmA","1854","2137783","2139636","-","suppressor of ompF","","","","21"
"3987","","","",NA,NA,"","assembly mutants","","","",""
"3988","b2065","dcd","582","2139658","2140239","-","2'-deoxycytidine 5'-","","","","21"
"3989","","","",NA,NA,"","triphosphate deaminase","","","",""
"3990","b2066","udk","696","2140331","2141026","-","uridine/cytidine kinase","","","","21"
"3991","b2067","yegE","3318","2141290","2144607","+","putative sensor-type","","","","12"
"3992","","","",NA,NA,"","protein","","","",""
"3993","b2068","alkA","849","2144716","2145564","-","3-methyl-adenine DNA","","","","21"
"3994","","","",NA,NA,"","glycosylase II, inducible","","","",""
"3995","b2069","yegD","1416","2145635","2147050","+","putative heat shock","","","","18"
"3996","","","",NA,NA,"","protein","","","",""
"3997","b2070","yegI","1947","2147063","2149009","-","putative chaperonin","1","","1","9"
"3998","b2071","yegJ","462","2149209","2149670","+","orf, hypothetical protein","1","1","1","2"
"3999","b2072","yegK","762","2149735","2150496","-","orf, hypothetical protein","","","","10"
"4000","b2073","yegL","660","2150493","2151152","-","orf, hypothetical protein","","","","14"
"4001","b2074","yegM","1395","2151893","2153287","+","putative membrane","","","","18"
"4002","","","",NA,NA,"","protein","","","",""
"4003","b2075","yegN","3123","2153287","2156409","+","orf, hypothetical protein","","","","18"
"4004","b2076","yegO","3078","2156410","2159487","+","orf, hypothetical protein","","","","20"
"4005","b2077","yegB","1416","2159488","2160903","+","putative transport","","","","19"
"4006","b2078","baeS","1404","2160900","2162303","+","sensor protein (for","","","","19"
"4007","b2079","baeR","723","2162300","2163022","+","transcriptional response","","","","21"
"4008","","","",NA,NA,"","regulatory protein","","","",""
"4009","","","",NA,NA,"","(sensor BaeS)","","","",""
"4010","b2080","yegP","372","2163174","2163545","+","orf, hypothetical protein","","","","14"
"4011","b2081","yegQ","1362","2163692","2165053","+","orf, hypothetical protein","","","","21"
"4012","b2082","ogrK","219","2165326","2165544","-","prophage P2 ogr","1","1","1","15"
"4013","b2083","-","147","2165626","2165772","-","orf, hypothetical protein","1","1","1","12"
"4014","b2084","-","267","2165759","2166025","-","orf, hypothetical protein","1","1","1","2"
"4015","b2085","yegR","378","2166013","2166390","-","orf, hypothetical protein","1","1","1","10"
"4016","b2086","yegS","900","2166736","2167635","+","orf, hypothetical protein","","1","1","17"
"4017","b4498","gatR","2041","2167717","2169757","-","-","","","1",""
"4018","b2091","gatD","1041","2169857","2170897","-","galactitol-1-phosphate","1","","1","15"
"4019","","","",NA,NA,"","dehydrogenase","","","",""
"4020","b2092","gatC","1356","2170945","2172300","-","PTS system galactitol-","","","1","15"
"4021","","","",NA,NA,"","specific enzyme IIC","","","",""
"4022","b2093","gatB","285","2172304","2172588","-","galactitol-specific","","1","1","15"
"4023","","","",NA,NA,"","enzyme IIB of","","","",""
"4024","","","",NA,NA,"","phosphotransferase","","","",""
"4025","b2094","gatA","453","2172619","2173071","-","galactitol-specific","1","1","1","13"
"4026","","","",NA,NA,"","enzyme IIA of","","","",""
"4027","","","",NA,NA,"","phosphotransferase","","","",""
"4028","b2095","gatZ","1263","2173081","2174343","-","putative tagatose 6-","","","1","10"
"4029","","","",NA,NA,"","phosphate kinase 1","","","",""
"4030","b2096","gatY","861","2174372","2175232","-","tagatose-bisphosphate","","","1","21"
"4031","","","",NA,NA,"","aldolase 1","","","",""
"4032","b2097","fbaB","1125","2175534","2176658","-","fructose-bisphosphate","","","","16"
"4033","","","",NA,NA,"","aldolase class I","","","",""
"4034","b2098","yegT","1278","2176843","2178120","+","putative nucleoside","","","","14"
"4035","","","",NA,NA,"","permease protein","","","",""
"4036","b2099","yegU","1005","2178117","2179121","+","orf, hypothetical protein","","","","13"
"4037","b2100","yegV","966","2179118","2180083","+","putative kinase","","","","16"
"4038","b2101","yegW","747","2180057","2180803","-","putative transcriptional","","","","19"
"4039","","","",NA,NA,"","regulator","","","",""
"4040","b2102","yegX","828","2180855","2181682","-","orf, hypothetical protein","1","","","10"
"4041","b2103","thiD","801","2181738","2182538","-","phosphomethylpyrimidi","","","","21"
"4042","","","",NA,NA,"","ne kinase","","","",""
"4043","b2104","thiM","789","2182535","2183323","-","hydoxyethylthiazole","1","","","16"
"4044","b2105","yohL","273","2183546","2183818","-","orf, hypothetical protein","","","","14"
"4045","b2106","yohM","825","2183939","2184763","+","orf, hypothetical protein","1","","","15"
"4046","b2107","yohN","519","2184802","2185320","+","orf, hypothetical protein","1","","1","13"
"4047","b2108","yehA","1035","2185402","2186436","-","putative type-1 fimbrial","1","1","1","13"
"4048","","","",NA,NA,"","protein","","","",""
"4049","b2109","yehB","2481","2186452","2188932","-","putative outer","1","1","1","13"
"4050","","","",NA,NA,"","membrane protein","","","",""
"4051","b2110","yehC","720","2188948","2189667","-","putative chaperone","1","1","1","12"
"4052","b2111","yehD","543","2189702","2190244","-","putative fimbrial-like","1","1","1","13"
"4053","","","",NA,NA,"","protein","","","",""
"4054","b2112","yehE","282","2190537","2190818","-","orf, hypothetical protein","1","1","1","13"
"4055","b2113","mrp","1140","2191081","2192220","-","putative ATPase","","","","21"
"4056","b2114","metG","2034","2192322","2194355","+","methionine tRNA","","","","21"
"4057","","","",NA,NA,"","synthetase","","","",""
"4058","b4499","molR","3796","2194496","2198291","+","-","","","1",""
"4059","b2118","yehI","3633","2198301","2201933","+","putative regulator","1","","","8"
"4060","b2119","yehL","1155","2202552","2203706","+","orf, hypothetical protein","","","1","8"
"4061","b2120","yehM","2280","2203717","2205996","+","orf, hypothetical protein","","","","8"
"4062","b2121","yehP","1137","2205989","2207125","+","orf, hypothetical protein","","","","9"
"4063","b2122","yehQ","1869","2207098","2208966","+","orf, hypothetical protein","","","","10"
"4064","b2123","yehR","474","2209235","2209708","+","orf, hypothetical protein","","","","15"
"4065","b2124","yehS","471","2209748","2210218","-","orf, hypothetical protein","","","","19"
"4066","b2125","yehT","735","2210265","2210999","-","orf, hypothetical protein","","","","21"
"4067","b2126","yehU","1686","2210981","2212666","-","putative 2-component","","","","20"
"4068","","","",NA,NA,"","sensor protein","","","",""
"4069","b2127","yehV","732","2212888","2213619","+","putative transcriptional","","","","13"
"4070","","","",NA,NA,"","regulator","","","",""
"4071","b2128","yehW","732","2213767","2214498","-","putative transport","","","","19"
"4072","","","",NA,NA,"","system permease","","","",""
"4073","b2129","yehX","927","2214503","2215429","-","putative ATP-binding","","","","18"
"4074","","","",NA,NA,"","component of a","","","",""
"4075","","","",NA,NA,"","transport system","","","",""
"4076","b2130","yehY","1158","2215422","2216579","-","putative transport","","","","18"
"4077","","","",NA,NA,"","system permease","","","",""
"4078","b2131","yehZ","918","2216586","2217503","-","putative transport","","","","17"
"4079","","","",NA,NA,"","system permease","","","",""
"4080","b2132","bglX","2298","2217714","2220011","-","beta-D-glucoside","","","","20"
"4081","","","",NA,NA,"","glucohydrolase,","","","",""
"4082","","","",NA,NA,"","periplasmic","","","",""
"4083","b2133","dld","1716","2220207","2221922","+","D-lactate","","","","21"
"4084","","","",NA,NA,"","dehydrogenase, FAD","","","",""
"4085","","","",NA,NA,"","protein, NADH","","","",""
"4086","b2134","pbpG","942","2221960","2222901","-","penicillin-binding","","","","18"
"4087","b2135","yohC","612","2223066","2223677","-","orf, hypothetical protein","","","","19"
"4088","b2136","yohD","615","2223787","2224401","+","orf, hypothetical protein","","","","15"
"4089","b2137","yohF","762","2224531","2225292","-","putative oxidoreductase","","","","13"
"4090","b2138","yohG","1197","2225345","2226541","-","putative","","","","13"
"4091","","","",NA,NA,"","channel/filament","","","",""
"4092","b2139","yohH","291","2226571","2226861","-","orf, hypothetical protein","1","","1","11"
"4093","b2140","yohI","948","2227460","2228407","-","putative regulator","","","","20"
"4094","b2141","yohJ","399","2228646","2229044","+","orf, hypothetical protein","","","","21"
"4095","b2142","yohK","696","2229041","2229736","+","putative seritonin","","","","21"
"4096","","","",NA,NA,"","transporter","","","",""
"4097","b2143","cdd","885","2229866","2230750","+","cytidine/deoxycytidine","","","","21"
"4098","","","",NA,NA,"","deaminase","","","",""
"4099","b2144","sanA","720","2230900","2231619","+","vancomycin sensitivity","","1","1","21"
"4100","b2145","yeiS","240","2231622","2231861","+","orf, hypothetical protein","1","1","1","15"
"4101","b2146","yeiT","1239","2232055","2233293","+","putative oxidoreductase","","","1","14"
"4102","b2147","yeiA","1242","2233281","2234522","+","putative oxidoreductase","","","","10"
"4103","b2148","mglC","1011","2234765","2235775","-","methyl-galactoside","","","1","19"
"4104","","","",NA,NA,"","transport and galactose","","","",""
"4105","","","",NA,NA,"","taxis","","","",""
"4106","b2149","mglA","1521","2235791","2237311","-","ATP-binding","","","1","14"
"4107","","","",NA,NA,"","component of methyl-","","","",""
"4108","","","",NA,NA,"","galactoside transport","","","",""
"4109","","","",NA,NA,"","and galactose taxis","","","",""
"4110","b2150","mglB","999","2237372","2238370","-","galactose-binding","","","","19"
"4111","","","",NA,NA,"","transport protein;","","","",""
"4112","","","",NA,NA,"","receptor for galactose","","","",""
"4113","b2151","galS","1041","2238650","2239690","-","mgl repressor,","","","","15"
"4114","","","",NA,NA,"","galactose operon","","","",""
"4115","b2152","yeiB","1158","2239832","2240989","-","orf, hypothetical protein","","","","21"
"4116","b2153","folE","669","2241006","2241674","-","GTP cyclohydrolase I","","","","21"
"4117","b2154","yeiG","837","2241932","2242768","+","putative esterase","","","","17"
"4118","b2155","cirA","1992","2242800","2244791","-","outer membrane","","","","16"
"4119","","","",NA,NA,"","receptor for iron-","","","",""
"4120","","","",NA,NA,"","regulated colicin I","","","",""
"4121","","","",NA,NA,"","receptor; porin; requires","","","",""
"4122","b2156","lysP","1470","2245085","2246554","-","lysine-specific","","","","21"
"4123","b2157","yeiE","882","2246759","2247640","-","putative transcriptional","","","","21"
"4124","b2235","nrdB","1131","2345406","2346536","+","ribonucleoside-","","","","21"
"4125","","","",NA,NA,"","diphosphate reductase","","","",""
"4126","","","",NA,NA,"","1, beta subunit, B2","","","",""
"4127","b2236","yfaE","255","2346536","2346790","+","orf, hypothetical protein","","","","21"
"4128","b2237","inaA","651","2346844","2347494","-","pH-inducible protein","","","","9"
"4129","","","",NA,NA,"","involved in stress","","","",""
"4130","","","",NA,NA,"","response","","","",""
"4131","b2238","yfaH","207","2347709","2347915","+","orf, hypothetical protein","1","1","","14"
"4132","b2239","glpQ","1077","2347957","2349033","-","glycerophosphodiester","","","","21"
"4133","","","",NA,NA,"","phosphodiesterase,","","","",""
"4134","","","",NA,NA,"","periplasmic","","","",""
"4135","b2240","glpT","1359","2349038","2350396","-","sn-glycerol-3-","","","","17"
"4136","","","",NA,NA,"","phosphate permease","","","",""
"4137","b2241","glpA","1629","2350669","2352297","+","sn-glycerol-3-","","","","20"
"4138","","","",NA,NA,"","phosphate","","","",""
"4139","","","",NA,NA,"","dehydrogenase","","","",""
"4140","b2242","glpB","1260","2352287","2353546","+","sn-glycerol-3-","","","","20"
"4141","","","",NA,NA,"","phosphate","","","",""
"4142","","","",NA,NA,"","dehydrogenase","","","",""
"4143","","","",NA,NA,"","(anaerobic), membrane","","","",""
"4144","b2243","glpC","1191","2353543","2354733","+","sn-glycerol-3-","","","","20"
"4145","","","",NA,NA,"","phosphate","","","",""
"4146","","","",NA,NA,"","dehydrogenase","","","",""
"4147","","","",NA,NA,"","(anaerobic), K-small","","","",""
"4148","b2244","yfaD","900","2354926","2355825","+","orf, hypothetical protein","","","","21"
"4149","b2245","-","804","2356064","2356867","-","orf, hypothetical protein","","","","13"
"4150","b2246","yfaV","1329","2356885","2358213","-","putative transport","","","","16"
"4151","b2247","yfaW","1218","2358231","2359448","-","putative racemase","","","","19"
"4152","b2248","yfaX","783","2359451","2360233","-","putative regulator","","","","12"
"4153","b2249","-","1203","2360453","2361655","-","orf, hypothetical protein","","","","18"
"4154","b2250","yfaZ","564","2361755","2362318","-","orf, hypothetical protein","","","1","18"
"4155","b2251","yfaO","426","2362576","2363001","+","orf, hypothetical protein","","","1","13"
"4156","b2252","ais","603","2363040","2363642","-","protein induced by","1","1","1","14"
"4157","","","",NA,NA,"","aluminum","","","",""
"4158","b2253","yfbE","1173","2363917","2365089","+","putative enzyme","","","1","21"
"4159","b2254","yfbF","969","2365093","2366061","+","putative sugar","","","","21"
"4160","b2255","yfbG","1983","2366061","2368043","+","putative transformylase","","","","20"
"4161","b2256","-","891","2368040","2368930","+","orf, hypothetical protein","","","","21"
"4162","b2257","arnT","1653","2368930","2370582","+","4-amino-4-deoxy-L-","","","","21"
"4163","","","",NA,NA,"","arabinose transferase","","","",""
"4164","","","",NA,NA,"","(lipid A modification)","","","",""
"4165","b2258","yfbJ","669","2370632","2371300","+","putative","1","","","21"
"4166","","","",NA,NA,"","transport/receptor","","","",""
"4167","b2259","pmrD","297","2371294","2371590","-","polymyxin resistance","1","","","13"
"4168","","","",NA,NA,"","protein B","","","",""
"4169","b2260","menE","1356","2371670","2373025","-","o-succinylbenzoate-","","","","21"
"4170","","","",NA,NA,"","CoA ligase","","","",""
"4171","b2261","menC","963","2373022","2373984","-","o-succinylbenzoyl-CoA","","","","21"
"4172","","","",NA,NA,"","synthase; conversion of","","","",""
"4173","","","",NA,NA,"","chorismate to 2-o-","","","",""
"4174","","","",NA,NA,"","succinylbenzoyl-CoA","","","",""
"4175","b2262","menB","858","2373984","2374841","-","dihydroxynaphtoic acid","","","","21"
"4176","","","",NA,NA,"","synthetase","","","",""
"4177","b2263","yfbB","759","2374856","2375614","-","putative enzyme","","","","21"
"4178","b2264","menD","1671","2375611","2377281","-","2-oxoglutarate","","","","21"
"4179","","","",NA,NA,"","decarboxylase; SHCHC","","","",""
"4180","","","",NA,NA,"","synthase","","","",""
"4181","b2265","menF","1071","2377370","2378440","-","isochorismate","","","","21"
"4182","","","",NA,NA,"","hydroxymutase 2,","","","",""
"4183","","","",NA,NA,"","menaquinone","","","",""
"4184","","","",NA,NA,"","biosynthesis","","","",""
"4185","b2266","elaB","306","2378744","2379049","-","orf, hypothetical protein","","","","20"
"4186","b2267","elaA","462","2379104","2379565","-","orf, hypothetical protein","","","1","16"
"4187","b2268","elaC","936","2379612","2380547","+","orf, hypothetical protein","","","1","15"
"4188","b2269","elaD","1212","2380735","2381946","+","putative sulfatase /","1","1","1","9"
"4189","","","",NA,NA,"","phosphatase","","","",""
"4190","b2270","yfbK","1728","2382017","2383744","-","orf, hypothetical protein","1","1","1","9"
"4191","b2271","yfbL","978","2383876","2384853","+","putative","1","1","1","6"
"4192","b2272","yfbM","504","2384956","2385459","+","orf, hypothetical protein","","1","1","9"
"4193","b2273","yfbN","717","2385732","2386448","-","orf, hypothetical protein","1","1","1","2"
"4194","b2274","-","477","2386603","2387079","+","orf, hypothetical protein","1","1","1","2"
"4195","b2275","-","852","2387135","2387986","+","orf, hypothetical protein","1","1","1","2"
"4196","b2490","hyfJ","477","2609416","2609892","+","putative protein","","","","10"
"4197","","","",NA,NA,"","processing element;","","","",""
"4198","","","",NA,NA,"","hydrogenase 4","","","",""
"4199","","","",NA,NA,"","component J","","","",""
"4200","b2491","hyfR","1992","2609943","2611934","+","putative 2-component","","","","16"
"4201","","","",NA,NA,"","regulator, interaction","","","",""
"4202","","","",NA,NA,"","with sigma 54","","","",""
"4203","b2492","focB","849","2611956","2612804","+","probable formate","","","","5"
"4204","","","",NA,NA,"","transporter (formate","","","",""
"4205","","","",NA,NA,"","channel 2)","","","",""
"4206","b2493","perM","1062","2612842","2613903","-","putative permease","","","","19"
"4207","b2494","-","1464","2614116","2615579","+","orf, hypothetical protein","","","","21"
"4208","b2495","yfgD","360","2615600","2615959","+","putative oxidoreductase","","","","21"
"4209","b2496","hda","747","2616097","2616843","-","putative DNA","","","","21"
"4210","","","",NA,NA,"","replication factor","","","",""
"4211","b2497","uraA","1290","2616893","2618182","-","uracil transport","","","","17"
"4212","b2498","upp","654","2618268","2618921","-","uracil","","","","21"
"4213","","","",NA,NA,"","phosphoribosyltransfera","","","",""
"4214","","","",NA,NA,"","se","","","",""
"4215","b2499","purM","1038","2619219","2620256","+","phosphoribosylaminoim","","","","21"
"4216","","","",NA,NA,"","idazole synthetase =","","","",""
"4217","","","",NA,NA,"","AIR synthetase","","","",""
"4218","b2500","purN","639","2620256","2620894","+","phosphoribosylglycinam","","","","21"
"4219","","","",NA,NA,"","ide formyltransferase 1","","","",""
"4220","b2501","ppk","2067","2621066","2623132","+","polyphosphate kinase","","","","21"
"4221","b2502","ppx","1542","2623137","2624678","+","exopolyphosphatase","","","","21"
"4222","b2503","yfgF","2244","2624717","2626960","-","putative cytochrome C-","1","","1","11"
"4223","","","",NA,NA,"","type biogenesis protein","","","",""
"4224","b2504","yfgG","192","2627312","2627503","+","orf, hypothetical protein","1","","1","14"
"4225","b2505","yfgH","519","2627814","2628332","+","putative outer","1","1","1","10"
"4226","","","",NA,NA,"","membrane lipoprotein","","","",""
"4227","b2506","yfgI","540","2628348","2628887","+","putative membrane","","","1","13"
"4228","","","",NA,NA,"","protein","","","",""
"4229","b2507","guaA","1578","2628980","2630557","-","GMP synthetase","","","","21"
"4230","","","",NA,NA,"","(glutamine-hydrolyzing)","","","",""
"4231","b2508","guaB","1467","2630626","2632092","-","IMP dehydrogenase","","","","21"
"4232","b2509","xseA","1371","2632254","2633624","+","exonuclease VII, large","","","","21"
"4233","","","",NA,NA,"","subunit","","","",""
"4234","b2510","yfgJ","252","2633621","2633872","-","orf, hypothetical protein","1","1","","18"
"4235","b2511","yfgK","1512","2633906","2635417","-","putative GTP-binding","","","","21"
"4236","","","",NA,NA,"","factor","","","",""
"4237","b2512","yfgL","1179","2635496","2636674","-","putative dehydrogenase","","","","21"
"4238","b2513","yfgM","621","2636685","2637305","-","orf, hypothetical protein","","","","21"
"4239","b2514","hisS","1275","2637323","2638597","-","histidine tRNA","","","","21"
"4240","b2515","ispG","1119","2638708","2639826","-","1-hydroxy-2-methyl-2-","","","","21"
"4241","","","",NA,NA,"","(E)-butenyl 4-","","","",""
"4242","","","",NA,NA,"","diphosphate synthase","","","",""
"4243","b2516","yfgA","1014","2639853","2640866","-","putative membrane","","","","21"
"4244","","","",NA,NA,"","protein","","","",""
"4245","b2517","yfgB","1155","2641151","2642305","-","orf, hypothetical protein","","","","21"
"4246","b2518","ndk","432","2642455","2642886","-","nucleoside diphosphate","","","","21"
"4247","","","",NA,NA,"","kinase","","","",""
"4248","b2519","pbpC","2313","2643035","2645347","-","penicillin binding protein","","","","16"
"4249","","","",NA,NA,"","1C (PBP 1C)","","","",""
"4250","b2520","yfhM","4962","2645348","2650309","-","orf, hypothetical protein","","","","16"
"4251","b2521","sseA","1005","2650357","2651361","+","putative thiosulfate","","","1","19"
"4252","","","",NA,NA,"","sulfurtransferase","","","",""
"4253","b2522","sseB","786","2652179","2652964","-","enhanced serine","","","1","21"
