Gene name,Coordinates,,Orientation,Description
yfaY,2360451,2361653,-,Function unknown
yfaZ,2361753,2362295,-,Function unknown
yfaO,2362574,2362999,+,Function unknown
ais,2363038,2363640,-,Aluminum-inducible protein; function unknown
yfbE,2363948,2365087,+,Function unknown
yfbF,2365091,2366059,+,Function unknown
yfbG,2366059,2368041,+,Function unknown
yfbH,2368038,2368928,+,Function unknown
yfbI,2368928,2370580,+,Function unknown
yfbW,2370577,2370912,+,Function unknown
yfbJ,2370912,2371298,+,Function unknown
pmrD,2371292,2371558,-,Confers polymyxin B resistance
menE,2371668,2373023,-,o-Succinylbenzoate-CoA synthase
menC,2373020,2373982,-,o-Succinylbenzoate synthase II
menB,2373982,2374839,-,"1,4-Dihydroxy-2-naphthoate synthase"
yfbB,2374854,2375612,-,Function unknown
menD,2375609,2377279,-,o-Succinylbenzoate synthase I
menF,2377368,2378663,-,Menaquinone pathway-specific isochorismate synthase
elaB,2378742,2379047,-,Unspecified
elaA,2379102,2379563,-,Unspecified
elaC,2379628,2380545,+,Unspecified
elaD,2380733,2381944,+,Unspecified
yfbK,2382015,2383742,-,Function unknown
yfbL,2383880,2384851,+,Function unknown
yfbM,2384954,2385457,+,Function unknown
yfbN,2385730,2386446,-,Function unknown
yfbO,2386601,2387077,+,Function unknown
yfbP,2387133,2387984,+,Function unknown
nuoN,2388068,2389345,-,NADH dehydrogenase I subunit
nuoM,2389532,2391061,-,NADH dehydrogenase I subunit
nuoL,2391225,2393066,-,NADH dehydrogenase I subunit
nuoK,2393063,2393365,-,NADH dehydrogenase I subunit
nuoJ,2393362,2393916,-,NADH dehydrogenase I subunit
nuoI,2393928,2394470,-,NADH dehydrogenase I subunit
nuoH,2394485,2395462,-,NADH dehydrogenase I subunit
nuoG,2395459,2398185,-,NADH dehydrogenase I subunit
nuoF,2398238,2399575,-,NADH dehydrogenase I subunit
nuoE,2399572,2400072,-,NADH dehydrogenase I subunit
nuoC,2400075,2401877,-,NADH dehydrogenase I subunit
nuoB,2401971,2402633,-,NADH dehydrogenase I subunit
nuoA,2402649,2403092,-,NADH dehydrogenase I subunit
lrhA,2403723,2404661,-,"Regulatory protein, similar to LysR family"
yfbQ,2405581,2406798,+,Function unknown
yfbR,2406882,2407481,+,Function unknown
yfbS,2407540,2409372,-,Function unknown
yfbT,2409459,2410127,-,Function unknown
yfbU,2410120,2410614,-,Function unknown
yfbV,2410697,2411152,-,Function unknown
ackA,2411490,2412692,+,Acetate kinase; mutants fluoroacetate resistant
pta,2412767,2414911,+,Phosphotransacetylase
yfcC,2415101,2416621,+,Function unknown
yfcD,2416654,2417196,-,Function unknown
yfcE,2417254,2417808,-,Function unknown
yfcF,2417861,2418505,-,Function unknown
yfcG,2418641,2419288,+,Function unknown
folX,2419345,2419707,+,Dihydroneopterin triphosphate epimerase
yfcH,2419728,2420621,+,Function unknown
yfcI,2420669,2421559,-,Function unknown
hisP,2421756,2422529,-,Histidine permease
hisM,2422537,2423253,-,Histidine transport membrane protein M
hisQ,2423250,2423936,-,Histidine transport gene
hisJ,2424026,2424808,-,Histidine-binding protein of high-affinity histidine transport system
argT,2425029,2425811,-,"Periplasmic Lys-, Arg-, and Orn-binding proteins"
ubiX,2426077,2426646,-,"Sequence homologous to ubiX of S. typhimurium, which codes for 3-octaprenyl 4-hydroxybenzoate carboxy-lyase"
purF,2426741,2428258,-,Amidophosphoribosyl transferase
cvpA,2428295,2428783,-,Affects Col V production; member of purF operon
dedD,2429042,2429677,-,Temporary designation for genes in pdxB and folC operons; unknown function
folC,2429694,2430962,-,Dihydrofolate:folylpolyglutamate synthetase
accD,2431032,2431946,-,Acetyl-CoA carboxylase beta-carboxyltransferase subunit
dedA,2432102,2432761,-,Temporary designation for genes in pdxB and folC operons; unknown function
truA,2432844,2433656,-,"Pseudouridine synthase, anticodon stem and loop specific pseudouridine"
usg,2433656,2434669,-,"Temporary name for gene in pdxB operon, unknown function"
pdxB,2434735,2435871,-,Isoniazid resistance; erythronate-4-phosphate dehydrogenase? pyridoxine biosynthesis
flk,2435970,2436965,+,"Transcribed divergently from pdxB, promoters overlapping, Salmonella homolog functions in sensing flagellar assembly stage"
yfcJ,2436962,2438140,-,Function unknown
fabB,2438405,2439625,-,Beta-ketoacyl-acyl carrier protein synthase I
yfcK,2439784,2441790,+,Function unknown
yfcL,2441911,2442189,-,Function unknown
yfcM,2442223,2442771,-,Function unknown
yfcA,2442771,2443580,-,Function unknown
mepA,2443580,2444404,-,Murein DD-endopeptidase
aroC,2444408,2445493,-,Chorismate synthase
yfcB,2445528,2446460,-,Function unknown
yfcN,2446626,2447177,+,Function unknown
yfcO,2447248,2448069,-,Function unknown
yfcP,2448071,2448610,-,Function unknown
yfcQ,2448607,2449095,-,Function unknown
yfcR,2449092,2449604,-,Function unknown
yfcS,2449604,2450356,-,Function unknown
yfcU,2450376,2453021,-,Function unknown
yfcV,2453103,2453666,-,Function unknown
sixA,2454347,2454832,-,"Phosphohistidine phosphatase affecting His-Asp phosphorelay of ArcB, etc."
yfcX,2455035,2457179,-,Function unknown
yfcY,2457179,2458489,-,Function unknown
yfcZ,2458670,2458954,-,Function unknown
fadL,2459320,2460666,+,"Fatty acid transport protein, outer membrane"
yfdF,2461032,2462090,+,Function unknown
vacJ,2462272,2463027,-,Shigella vacJ homolog
yfdC,2463321,2464253,+,Function unknown
argW,2464329,2464403,+,Arginine tRNA5
intS,2464565,2465722,+,Putative integrase gene within defective prophage CPS-53
yfdG,2465875,2466237,+,Function unknown
yfdH,2466234,2467154,+,Function unknown
yfdI,2467151,2468482,+,Function unknown
tfaS,2468835,2469125,+,Phage lambda tail fiber gene homolog in prophage CPS-53
yfdK,2469097,2469537,-,Function unknown
yfdL,2469564,2470142,-,Function unknown
yfdM,2470132,2470407,-,Function unknown
yfdN,2470407,2470901,-,Function unknown
yfdO,2470898,2471344,-,Function unknown
yfdP,2471540,2471986,+,Function unknown
yfdQ,2472052,2472876,+,Function unknown
yfdR,2473004,2473540,+,Function unknown
yfdS,2473531,2473893,+,Function unknown
yfdT,2473893,2474198,+,Function unknown
dsdC,2474714,2475649,-,LysR-type transcriptional regulator; previously cited as D-serine permease; dsdC/X order reversed in different sequence entries
dsdX,2475867,2477204,+,Homology with gluconate permease; D-serine tolerance
dsdA,2477222,2478550,+,D-Serine deaminase
emrY,2478658,2480196,-,Putative multidrug resistance pump
emrK,2480196,2481359,-,Putative multidrug resistance pump
evgA,2481775,2482389,+,Multicopy on plasmid in envZ-deleted strain induces ompC expression; see evgS gene
evgS,2482394,2485987,+,"With evgA, two-component regulatory system, environmentally responsive gene"
yfdE,2486043,2487188,-,Function unknown
yfdV,2487262,2488206,-,Function unknown
yfdU,2488276,2489970,-,Function unknown
yfdW,2490024,2491274,-,Function unknown
yfdX,2491787,2492422,-,Function unknown
ypdI,2492718,2492993,+,Function unknown
yfdY,2493070,2493312,-,Function unknown
ddg,2493665,2494585,+,Acetyltransferase
yfdZ,2495077,2496315,-,Function unknown
ypdA,2496691,2498388,+,Function unknown
ypdB,2498403,2499137,+,Function unknown
ypdC,2499150,2500007,+,Function unknown
ypdD,2500010,2502505,-,Function unknown
ypdE,2502530,2503567,-,Function unknown
ypdF,2503567,2504652,-,Function unknown
ypdG,2504667,2505914,-,Function unknown
ypdH,2505936,2506262,-,Function unknown
glk,2506481,2507446,-,Glucokinase
yfeO,2507650,2508906,+,Function unknown
yfeP,2509488,2510726,-,Function unknown
nupC,2511062,2512264,+,"Transport of nucleosides, except guanosine"
yfeA,2513663,2515852,-,Function unknown
alaX,2516061,2516136,-,Alanine tRNA 2; tandemly duplicated alaW
alaW,2516176,2516251,-,Alanine tRNA 2; tandemly duplicated
yfeC,2516487,2516831,+,Function unknown
yfeD,2516854,2517225,+,Function unknown
gltX,2517277,2518692,-,Glutamyl-tRNA synthetase
valU,2518951,2519026,+,Valine tRNA1; tandemly triplicate
valX,2519071,2519146,+,Valine tRNA1; tandemly triplicate
valY,2519193,2519268,+,Valine tRNA1; tandemly triplicate
lysV,2519273,2519348,+,Lysine tRNA
xapR,2519613,2520497,-,Regulatory gene for xapA
xapB,2520749,2522005,-,"Xanthosine transport protein, NupG-like"
xapA,2522065,2522898,-,Xanthosine phosphorylase
yfeN,2523147,2523911,+,Function unknown
yfeR,2523950,2524876,-,Function unknown
yfeH,2524966,2525964,+,Function unknown
ypeB,2525961,2526179,-,Function unknown
ligA,2526181,2528196,-,DNA ligase
zipA,2528267,2529253,-,"Essential gene, affects cell division and growth; septal ring structural protein"
cysZ,2529483,2530244,+,ORF upstream of cysK
cysK,2530429,2531400,+,"Cysteine synthase; homodimer; selenate resistance, azaserine resistance"
ptsH,2531784,2532041,+,Phosphohistidinoprotein-hexose phosphotransferase
ptsI,2532086,2533813,+,Phosphotransferase system enzyme I
crr,2533854,2534363,+,Phosphocarrier protein for glucose of the PTS; IIIglc
pdxK,2534406,2535257,-,Vitamin B6 kinase
yfeK,2535362,2535736,+,Function unknown
yfeS,2535769,2536503,+,Function unknown
cysM,2536692,2537603,-,o-Acetylserine sulfhydrolase B
cysA,2537737,2538834,-,Sulfate permease; chromate resistance
cysW,2538824,2539699,-,Membrane-bound sulfate transport protein; may also transport molybdate
cysU,2539699,2540532,-,Cysteine transport system; may also transport molybdate
cysP,2540532,2541548,-,Periplasmic sulfate binding protein
ucpA,2541852,2542643,-,Temporary name; protein with homology to short-chain dehydrogenases/reductases
yfeT,2542772,2543629,-,Function unknown
yfeU,2543793,2544689,+,Function unknown
yfeV,2544693,2546117,+,Function unknown
yfeW,2546122,2547426,+,Function unknown
yfeX,2547666,2548565,-,Function unknown
yfeY,2548661,2549236,-,Function unknown
yfeZ,2549297,2549746,-,Function unknown
ypeA,2549733,2550158,-,Function unknown
amiA,2550372,2551241,+,N-Acetylmuramyl-L-alanine amidase activity
hemF,2551245,2552144,+,Coproporphyrinogen III oxidase
eutR,2552150,2553202,-,"Positive regulator of eut operon, AraC family; Salmonella homolog"
eutK,2553248,2553748,-,Putative carboxysome structural protein; Salmonella homolog
eutL,2553761,2554420,-,Putative carboxysome structural protein; Salmonella homolog
eutC,2554430,2555317,-,Ethanolamine ammonia lyase small subunit; Salmonella homolog
eutB,2555338,2556699,-,Ethanolamine ammonia lyase large subunit; Salmonella homolog
intZ,2556878,2558086,+,Putative integrase gene within defective prophage CPZ-55
yffL,2558277,2558918,+,Function unknown
yffM,2559388,2559633,+,Function unknown
yffN,2559630,2560013,+,Function unknown
yffO,2560131,2560547,+,Function unknown
yffP,2560544,2561137,+,Function unknown
yffQ,2561597,2561989,+,Function unknown
yffR,2562000,2562392,+,Function unknown
yffS,2562513,2563352,+,Function unknown
eutA,2563501,2564904,-,Putative chaperonin; Salmonella homolog
eutH,2564901,2566127,-,Putative integral membrane protein; Salmonella homolog
eutG,2566344,2567531,-,Putative alcohol dehydrogenase; Salmonella homolog
eutJ,2567521,2568357,-,Putative chaperonin; Salmonella homolog
eutE,2568368,2569771,-,Putative aldehyde oxidoreductase; Salmonella homolog
eutN,2569783,2570070,-,Putative carboxysome structural protein; Salmonella homolog
eutM,2570177,2570470,-,Putative carboxysome structural protein; Salmonella homolog
eutD,2570509,2571525,-,Putative phosphotransacetylase non-catalytic; Salmonella homolog
eutT,2571522,2572325,-,Cobalamin adenosyl transferase; Salmonella homolog
eutQ,2572322,2573023,-,Protein of unknown function in eut operon; Salmonella homolog
eutP,2572998,2573477,-,Protein of unknown function in eut operon; Salmonella homolog
eutS,2573490,2573825,-,Putative carboxysome structural protein; Salmonella homolog
maeB,2574118,2576397,-,Putative NADP+-linked malic enzyme
talA,2576686,2577636,+,Transaldolase A
tktB,2577656,2579659,+,Transketolase
ypfG,2579754,2580797,-,Function unknown
yffH,2580923,2581498,-,Function unknown
aegA,2581566,2583545,-,"Induced by anaerobiosis, repressed by NO3; control; nonessential in respiration, N source utilized"
narQ,2583751,2585451,+,"Nitrate sensor-transmitter protein, anaerobic respiratory path; function redundant with narX"
acrD,2585615,2588728,+,Sensitivity to acriflavine
yffB,2589267,2589623,+,Function unknown
dapE,2589627,2590754,+,N-succinyl-diaminopimelate deacylase
ypfH,2591092,2591790,-,Function unknown
ypfI,2591864,2593879,-,Function unknown
ypfJ,2593894,2594757,-,Function unknown
purC,2594925,2595638,-,Phosphoribosylaminoimidazole-succinocarboxamide synthetase
nlpB,2595851,2596885,-,Nonessential lipoprotein in outer membrane vesicles
dapA,2596902,2597780,-,Dihydrodipicolinate synthase
gcvR,2597926,2598498,+,Regulatory gene
bcp,2598498,2598968,+,Probable bacterioferritin
hyfA,2599221,2599838,+,Putative hydrogenase 4 component A
hyfB,2599838,2601856,+,Putative hydrogenase 4 component B
hyfC,2601867,2602814,+,Putative hydrogenase 4 component C
hyfD,2602831,2604270,+,Putative hydrogenase 4 component D
hyfE,2604282,2604932,+,Putative hydrogenase 4 component E
hyfF,2604937,2606517,+,Putative hydrogenase 4 component F
hyfG,2606507,2608174,+,Putative hydrogenase 4 component G
hyfH,2608184,2608729,+,Putative hydrogenase 4 component H
hyfI,2608726,2609484,+,Putative hydrogenase 4 component I
hyfJ,2609477,2609890,+,Putative hydrogenase 4 component J
hyfR,2609920,2611932,+,Formate-sensing regulator for hyf operon
focB,2611954,2612802,+,"Membrane protein, formate transporter of hyf operon"
yfgO,2612840,2613901,-,Function unknown
yfgC,2614114,2615577,+,Function unknown
yfgD,2615598,2615957,+,Function unknown
yfgE,2616095,2616841,-,Function unknown
uraA,2616891,2618180,-,Uracil concentration dependence of pyr mutants; Ura ABC transporter
upp,2618266,2618892,-,Uracil phosphoribosyltransferase
purM,2619217,2620254,+,Phosphoribosylaminoimidazole synthetase
purN,2620254,2620892,+,5'-phosphoribosylglycinamide transformylase 1
ppk,2621064,2623130,+,Polyphosphate (linear Pi linked by high-energy bonds) kinase
ppx,2623135,2624676,+,Exopolyphosphatase
yfgF,2624715,2626958,-,Function unknown
yfgG,2627310,2627501,+,Function unknown
yfgH,2627812,2628330,+,Function unknown
yfgI,2628346,2628885,+,Function unknown
guaA,2628978,2630555,-,GMP synthetase
guaB,2630624,2632090,-,IMP dehydrogenase
xseA,2632252,2633622,+,"Exonuclease VII, large subunit"
yfgJ,2633619,2633870,-,Function unknown
yfgK,2633904,2635415,-,Function unknown
yfgL,2635494,2636672,-,Function unknown
yfgM,2636683,2637303,-,Function unknown
hisS,2637321,2638595,-,Histidyl-tRNA synthetase
gcpE,2638706,2639824,-,Apparently essential gene
yfgA,2639851,2640864,-,Function unknown
yfgB,2641149,2642303,-,Function unknown
ndk,2642453,2642884,-,Nucleoside diphosphate kinase
pbpC,2643033,2645345,-,Penicillin-binding protein 1C
yfhM,2645346,2650307,-,Function unknown
sseA,2650514,2651359,+,Enhances serine sensitivity (inhibits homoserine deHase) on lactate; rhodanese-like protein
sseB,2652177,2652953,-,Enhances serine sensitivity (inhibits homoserine deHase) on lactate; weaker than sseA
pepB,2653095,2654378,-,Peptidase B; aminopeptidase
yfhJ,2654556,2654756,-,Function unknown
fdx,2654768,2655103,-,"Ferredoxin, cotranscribed with hscBA, presumably cold inducible"
hscA,2655105,2656955,-,Stress response gene; Hsp70 family
hscB,2656972,2657487,-,Stress response gene; heat shock regulon
yfhF,2657583,2657906,-,Function unknown
yfhN,2657923,2658309,-,Function unknown
yfhO,2658337,2659551,-,Function unknown
yfhP,2659663,2660151,-,Function unknown
yfhQ,2660603,2661343,-,Function unknown
suhB,2661462,2662265,+,Inositol monophosphate
yfhR,2662383,2663264,+,Function unknown
csiE,2663434,2664735,+,Stationary phase inducible protein
yfhS,2664727,2665866,-,Function unknown
yfhT,2666026,2666916,-,Function unknown
yfhU,2667052,2668413,+,Function unknown
yfhV,2668410,2668928,+,Function unknown
yfhW,2668928,2669248,+,Function unknown
yfhX,2669245,2670057,+,Function unknown
yfhY,2670067,2671269,+,Function unknown
yphA,2671366,2671788,+,Function unknown
yphB,2671836,2672708,-,Function unknown
yphC,2672720,2673781,-,Function unknown
yphD,2673847,2674845,-,Function unknown
yphE,2674870,2676381,-,Function unknown
yphF,2676404,2677387,-,Function unknown
yphG,2677484,2680765,-,Function unknown
yphH,2680883,2682076,+,Function unknown
glyA,2682274,2683527,-,Serine hydroxymethyltransferase
hmp,2683855,2685045,+,Hemoglobin-like flavoprotein
glnB,2685090,2685428,-,PII regulatory protein for glutamine synthetase
yfhA,2685489,2686823,-,Function unknown
yfhG,2686813,2687526,-,Function unknown
yfhK,2687691,2689118,-,Function unknown
purL,2689676,2693563,-,Phosphoribosylformylglycinamide synthetase
yfhD,2693959,2695377,+,Function unknown
yfhC,2695374,2695877,-,Function unknown
yfhB,2695935,2696570,-,Function unknown
yfhH,2696779,2697627,+,Function unknown
yfhL,2697683,2697943,+,Function unknown
acpS,2698638,2699018,-,Holo-ACP synthase
pdxJ,2699018,2699749,-,Codon overlap with recO; complex operon
recO,2699761,2700489,-,Conjugational recombination and repair; DNA-binding protein; RecA-like strand assimilation
era,2700501,2701406,-,"GTP-binding protein, essential gene"
rnc,2701403,2702083,-,RNase III; cleaves double-stranded RNA
lepB,2702355,2703329,-,Signal peptidase I (for nonlipoproteins)
lepA,2703345,2705144,-,"GTP binding membrane protein, function unknown; lep"
rseC,2705342,2705821,-,Deletion does not affect sigma E activity
rseB,2705818,2706774,-,"Binds rseA, negative regulation of sigma E"
rseA,2706774,2707424,-,"Membrane protein, negative regulator of sigma E"
rpoE,2707457,2708032,-,"RNA polymerase, sigma E-subunit, high-temperature transcription (heat shock and oxidative stress)"
nadB,2708440,2710062,+,"Quinolinate synthetase, B protein"
yfiC,2710047,2710784,-,Function unknown
srmB,2710916,2712250,+,ATP-dependent RNA helicase; suppresses 50S ribosome assembly defect
yfiE,2712459,2713340,-,Function unknown
yfiK,2713443,2714030,+,Function unknown
yfiD,2714086,2714469,-,Function unknown
ung,2714774,2715463,+,Uracil-DNA-glycosylase
yfiF,2715511,2716548,-,Function unknown
trxC,2716755,2717174,+,Thioredoxin 2
yfiP,2717243,2717941,+,Function unknown
yfiQ,2717973,2720633,+,Function unknown
pssA,2720747,2722102,+,Phosphatidylserine synthase
yfiM,2722148,2722471,+,Function unknown
kgtP,2722468,2723766,-,Alpha-ketoglutarate permease
rrfG,2724089,2724208,-,5S rRNA of rrnG operon
rrlG,2724301,2727204,-,23S rRNA of rrnG operon
gltW,2727389,2727464,-,Glutamate tRNA2
rrsG,2727636,2729178,-,16S RNA of rrnG operon
clpB,2729620,2732193,-,"ClpB protease, ATP dependent"
yfiH,2732323,2733054,-,Function unknown
rluD,2733051,2734031,-,"23S rRNA pseudouridine synthase (pseudouridines at position 1911, 1915, and 1917); suppresses ftsH(ts) mutants"
yfiO,2734166,2734903,+,Function unknown
yfiA,2735174,2735515,+,Function unknown
pheL,2735619,2735666,+,pheA gene regulatory leader peptide
pheA,2735765,2736925,+,Chorismate mutase-P-prephenate dehydratase; FPA resistance
tyrA,2736968,2738089,-,"Chorismate mutase T-prephenate dehydrogenase, bifunctional; TyrR regulon"
aroF,2738100,2739170,-,DAHP synthetase; tyrosine repressible
yfiL,2739380,2739745,+,Function unknown
yfiR,2739895,2740413,+,Function unknown
yfiN,2740403,2741629,+,Function unknown
yfiB,2741645,2742127,+,Function unknown
rplS,2742203,2742550,-,50S ribosomal subunit protein L19
trmD,2742592,2743359,-,tRNA (guanine-7)-methyltransferase
rimM,2743390,2743938,-,21-kDa protein essential for 16S RNA processing
rpsP,2743957,2744205,-,30S ribosomal subunit protein S16
ffh,2744454,2745815,-,4.5S-RNP protein; RNP has mammalian protein-targeting counterpart: SRP
ypjD,2745982,2746773,+,Function unknown
yfjD,2746794,2748081,+,Function unknown
grpE,2748136,2748729,-,Heat shock protein; mutant survives induction of prophage lambda; stimulates DnaK ATPase; nucleotide exchange function
yfjB,2748852,2749730,+,Function unknown
recN,2749816,2751477,+,Recombination and repair; lexA regulon
smpA,2751626,2751967,+,"Small protein, function unknown"
yfjF,2752029,2752319,-,Function unknown
yfjG,2752309,2752785,-,Function unknown
smpB,2752917,2753399,+,"Small protein, function unknown"
ssrA,2753509,2753974,+,10Sa RNA (nonribosomal); role in modulating DNA-binding proteins
intA,2754180,2755421,+,Integrase gene within defective prophage CP4-57
yfjH,2755665,2756621,-,Function unknown
alpA,2756665,2756877,+,Alp protease; cryptic prophage CP4-57 element; regulates intA (slp [suppressor of Lon])
yfjI,2757006,2758415,+,Function unknown
yfjJ,2758568,2759194,+,Function unknown
yfjK,2759372,2761561,-,Function unknown
yfjL,2761558,2763174,-,Function unknown
yfjM,2763534,2763797,-,Function unknown
yfjN,2763939,2765012,+,Function unknown
yfjO,2765056,2765376,+,Function unknown
yfjP,2765731,2766594,+,Function unknown
yfjQ,2766686,2767507,+,Function unknown
yfjR,2767724,2768425,+,Function unknown
ypjK,2768466,2768702,+,Function unknown
yfjS,2768702,2769145,+,Function unknown
yfjT,2769169,2769636,+,Function unknown
yfjU,2770023,2770175,-,Function unknown
yfjV,2770188,2771203,-,Function unknown
yfjW,2771339,2773042,+,Function unknown
ypjI,2773566,2773837,+,Function unknown
yfjX,2773940,2774398,+,Function unknown
yfjY,2774407,2774889,+,Function unknown
ypjJ,2774898,2775098,+,Function unknown
yfjZ,2775136,2775453,+,Function unknown
ypjF,2775474,2775803,+,Function unknown
ypjA,2776167,2780747,-,Function unknown
pinH,2781085,2781324,-,DNA invertase; site-specific recombination; defective gene
ypjB,2781658,2782449,-,Function unknown
ypjC,2782549,2783031,-,Function unknown
ileY,2783782,2783857,-,Isoleucine tRNA2 variant
ygaQ,2784417,2784749,+,Function unknown
ygaR,2784768,2785166,+,Function unknown
yqaC,2785219,2786259,+,Function unknown
yqaD,2786398,2786670,+,Function unknown
ygaT,2786901,2787983,+,Function unknown
ygaF,2788003,2789271,+,Function unknown
gabD,2789294,2790742,+,Succinate-semialdehyde dehydrogenase; NADP dependent
gabT,2790756,2792036,+,Aminobutyrate aminotransferase
gabP,2792274,2793674,+,"GABA permease, membrane protein"
ygaE,2793695,2794357,+,Function unknown
ygaU,2794358,2794807,-,Function unknown
yqaE,2794891,2795049,-,Function unknown
ygaV,2795232,2795531,+,Function unknown
ygaP,2795541,2796065,+,Function unknown
stpA,2796112,2796516,-,"Hns-like protein, suppresses T4 td mutant"
ygaW,2797185,2797634,+,Function unknown
ygaC,2797671,2798015,-,Function unknown
ygaM,2798155,2798496,+,Function unknown
nrdH,2798744,2798989,+,Glutaredoxin-like protein involved in electron transport system for ribonucleotide reductase system NrdEF
nrdI,2798986,2799396,+,Part of nrdHIEF operon; function unknown
nrdE,2799369,2801513,+,"Nonessential ribonucleoside-diP reductase 2, subunit alpha, class I, function unknown"
nrdF,2801523,2802482,+,"Nonessential ribonucleoside-diP reductase 2, subunit beta, class I, function unknown"
proV,2802836,2804038,+,High-affinity transport for glycine; glycine betaine-binding protein
proW,2804031,2805095,+,"High-affinity transport for glycine, betaine, and proline; see also proL"
proX,2805153,2806145,+,"High-affinity transport for glycine, betaine, and proline"
ygaY,2806337,2807514,+,Function unknown
ygaZ,2807638,2808375,+,Function unknown
ygaH,2808365,2808700,+,Function unknown
mprA,2808791,2809321,+,Controls level of microcin synthesis; negative regulation of EmrAB
emrA,2809448,2810620,+,Multidrug resistance pump family
emrB,2810637,2812175,+,"Hydrophobic, inner membrane-spanning domains; multidrug resistance pump family"
ygaG,2812239,2812754,-,Function unknown
gshA,2812905,2814461,-,Gamma-Glutamyl-cysteine synthetase
yqaA,2814534,2814962,-,Function unknown
yqaB,2814959,2815525,-,Function unknown
argQ,2815806,2815882,-,Arginine tRNA2 tandem quadruple genes
argZ,2816081,2816157,-,Arginine tRNA2; tandem quadruplicate genes
argY,2816220,2816296,-,Arginine tRNA2; tandem quadruplicate genes
argV,2816495,2816571,-,Arginine tRNA2; tandem quadruplicate genes
serV,2816575,2816667,-,Serine tRNA3
csrA,2816983,2817168,-,Regulatory gene inhibiting glycogen biosynthesis; global regulatory protein
alaS,2817403,2820033,-,Alanyl-tRNA synthetase 1B (ligase)
oraA,2820162,2820662,-,Putative RecX regulatory protein
recA,2820731,2821792,-,"General recombination and DNA repair; pairing and strand exchange; role in cleavage of LexA repressor, SOS mutagenesis"
ygaD,2821872,2822369,-,Function unknown
mltB,2822514,2823599,-,"Murein hydrolase lipoprotein; Slt35, soluble lytic transglycosylase"
srlA,2823855,2824418,+,D-glucitol-specific enzyme II of phosphotransferase system
srlE,2824415,2825374,+,Protein encoded by reading frame adjacent to srlA
srlB,2825385,2825756,+,D-glucitol (sorbitol)-specific enzyme III of the phosphotransferase system
srlD,2825760,2826539,+,Sorbitol-6-phosphate dehydrogenase
gutM,2826644,2827003,+,Part of srl operon
srlR,2827070,2827843,+,Regulatory gne for srl operon
gutQ,2827836,2828801,+,Part of srl operon; putative ATP-binding protein
ygaA,2828798,2830387,-,Function unknown
ygaK,2830499,2831938,+,Function unknown
ygbD,2831935,2833068,+,Function unknown
hypF,2833196,2835448,-,"Mutation results in loss of hydrogenase activity; affects maturation of all hydrogenases, formate regulon"
hydN,2835601,2836128,-,Iron-sulfur protein required for Hyd-3 activity
ascG,2836277,2837290,-,Repressor of cryptic asc operon
ascF,2837547,2839004,+,Cryptic; paralogous to cryptic bglFB; expressed when AscG is mutated
ascB,2839013,2840437,+,Cryptic; paralogous to cryptic bglFB; expressed when AscG is mutated
hycI,2840596,2841066,-,Maturation protease for Ni-containing Hyd-3
hycH,2841059,2841469,-,Required for converting HycE precursor to Hyd-3 subunit
hycG,2841466,2842233,-,Hydrogenase 3 subunit
hycF,2842233,2842775,-,Hydrogenase 3 subunit
hycE,2842785,2844494,-,"Hydrogenase 3 subunit, large, precursor"
hycD,2844512,2845435,-,Hydrogenase 3 subunit
hycC,2845438,2847264,-,"Formate-hydrogenlyase system, formate regulon, small subunit of hydrogenase 3?"
hycB,2847261,2847872,-,"Formate-hydrogenlyase system, formate regulon, small subunit of hydrogenase 3?"
hycA,2847997,2848458,-,Regulatory gene for hyc and hyp; counteracts activation by FhlA
hypA,2848670,2849020,+,"Formate-hydrogenlyase system; guanine-nucleotide-binding protein, Ni donor for Hyd-3 large subunit"
hypB,2849024,2849896,+,Formate-hydrogenlyase system; formate regulon
hypC,2849887,2850159,+,Formate-hydrogenlyase system: formate regulon
hypD,2850159,2851280,+,Formate-hydrogenlyase system: formate regulon
hypE,2851319,2852287,+,Formate-hydrogenlyase system: formate regulon
fhlA,2852361,2854439,+,"Transcription factor, formate hydrogen lyase system activator, global regulator, hyc,"
ygbA,2854476,2854829,-,Function unknown
mutS,2855116,2857677,+,Methyl-directed mismatch repair
pphB,2857783,2858439,+,Phosphoprotein phosphatase involved in signalling protein misfolding; heat shock regulon
ygbI,2858490,2859287,-,Function unknown
ygbJ,2859453,2860361,+,Function unknown
ygbK,2860358,2861524,+,Function unknown
ygbL,2861616,2862254,+,Function unknown
ygbM,2862259,2863035,+,Function unknown
ygbN,2863124,2864488,+,Function unknown
rpoS,2864582,2865574,-,"RNA polymerase, sigma S-subunit, stationary phase"
nlpD,2865637,2866776,-,May function in cell wall formation
pcm,2866916,2867542,-,L-Isoaspartyl protein carboxyl methyltransferase; repair of isoaspartyl residues
surE,2867536,2868297,-,Required for stationary-phase survival
ygbO,2868278,2869327,-,Function unknown
ygbB,2869324,2869803,-,Function unknown
ygbP,2869803,2870513,-,Function unknown
ygbQ,2870532,2870843,-,Function unknown
ygbE,2871037,2871360,-,Function unknown
cysC,2871410,2872015,-,Adenylylsulfate kinase
cysN,2872015,2873442,-,ATP sulfurylase (ATP:sulfate adenylyltransferase)
cysD,2873444,2874352,-,Sulfate adenylyltransferase
iap,2874604,2875641,+,"Aminopeptidase, presumably, that generates alkaline phosphatase isozyme"
ygbF,2876592,2876876,-,Function unknown
