ID,K-12 gene namea,dN (average),dS (average),HTGb,H-NS bindingc,H-NS binding (excluded genes in which H-NS-bound regions were restricted at the 3' end and length is less than 10% of total gene length)d,Genes included in transcriptional units H-NS bounde,Transcription unit namef
700,astA,0.002871036,0.080756554,x,FALSE,FALSE,FALSE, 
701,astC,0.008721353,0.07085444,x,FALSE,FALSE,FALSE, 
702,xthA,0.005601268,0.089036047,n,FALSE,FALSE,FALSE, 
703,ydjX,0.007700423,0.039036047,N,FALSE,FALSE,FALSE, 
704,ydjZ,0.003850846,0.057205391,n,FALSE,FALSE,FALSE, 
705,ynjA,0.006246512,0.065573996,x,FALSE,FALSE,FALSE, 
706,ynjC,0.013671036,0.084739112,n,FALSE,FALSE,FALSE, 
707,ynjD,0.020251268,0.170523044,N,FALSE,FALSE,FALSE, 
708,nudG,0.013018816,0.04294926,n,FALSE,FALSE,FALSE, 
709,gdhA,0.002410042,0.081622199,l/n,FALSE,FALSE,FALSE, 
710,topB,0.008963214,0.125113108,l/n,FALSE,FALSE,FALSE, 
711,selD,0.003302326,0.116863108,x,FALSE,FALSE,FALSE, 
712,ydjA,0.000804863,0.091956342,x,FALSE,FALSE,FALSE, 
713,sppA,0.001918922,0.048981501,x,FALSE,FALSE,FALSE, 
714,ansA,0.002395772,0.081357505,x,FALSE,FALSE,FALSE, 
715,pncA,0.0088926,0.064588901,l/n,TRUE,FALSE,FALSE, 
716,yeaA,0.002206977,0.091908879,N,FALSE,FALSE,FALSE, 
717,gapA,0,0.011771776,n,FALSE,FALSE,FALSE, 
718,yeaD,0.007718816,0.074613742,x,FALSE,FALSE,FALSE, 
719,yeaE,0.008732241,0.047024841,x,FALSE,FALSE,FALSE, 
720,mipA,0.001254863,0.027336786,x,FALSE,FALSE,TRUE,mipA
721,yeaI,0.001208985,0.043639429,L/N,TRUE,TRUE,TRUE,yeaI
722,yeaN,0.003715433,0.056297463,N,FALSE,FALSE,FALSE, 
723,yeaO,0.004553383,0.042705708,n,FALSE,FALSE,FALSE, 
724,yeaP,0.001613742,0.071649366,N,TRUE,TRUE,TRUE,yeaP
725,yeaY,0.002940486,0.077401163,x,FALSE,FALSE,FALSE, 
726,yeaZ,0.004286575,0.11229778,x,FALSE,FALSE,FALSE, 
727,pabB,0.009094186,0.054348309,x,FALSE,FALSE,FALSE, 
728,yeaB,0.002249049,0.062183404,x,FALSE,FALSE,FALSE, 
729,manY,0.000154545,0.026845137,x,FALSE,FALSE,FALSE, 
730,manZ,0.003556342,0.061265222,n,FALSE,FALSE,FALSE, 
731,yobD,0.002198414,0.044058457,N,TRUE,TRUE,TRUE,yobD
732,yebN,0.00043129,0.043528647,n,FALSE,FALSE,TRUE,yebN
733,rrmA,0.010591543,0.037207611,n,FALSE,FALSE,FALSE, 
734,prc,0.001441332,0.06362611,x,FALSE,FALSE,FALSE, 
735,proQ,0.002028753,0.017599789,n,FALSE,FALSE,FALSE, 
736,yebS,0.003162474,0.073197992,N,FALSE,FALSE,FALSE, 
737,yebT,0.001911311,0.089308457,n,FALSE,FALSE,FALSE, 
738,yebU,0.008648203,0.095406448,l,FALSE,FALSE,FALSE, 
739,pphA,0.008541755,0.04536649,L/N,FALSE,FALSE,FALSE, 
740,yobB,0.004542918,0.032648203,N,FALSE,FALSE,FALSE, 
741,exoX,0.001119662,0.052028541,n,FALSE,FALSE,FALSE, 
742,ptrB,0.002619027,0.07233129,x,FALSE,FALSE,FALSE, 
743,eda,0.000665856,0.025563108,x,FALSE,FALSE,FALSE, 
744,zwf,0.000781078,0.042515222,n,FALSE,FALSE,FALSE, 
745,yebK,0.001386998,0.042262474,N,FALSE,FALSE,FALSE, 
746,pykA,0.000979387,0.054793658,n,FALSE,FALSE,FALSE, 
747,znuA,0.00542093,0.051436892,L/N,FALSE,FALSE,FALSE, 
748,znuC,0.00061649,0.060778964,L/n,FALSE,FALSE,FALSE, 
749,znuB,0.002075053,0.075916385,L,FALSE,FALSE,FALSE, 
750,ruvB,0.001318922,0.08990814,l,FALSE,FALSE,TRUE,ruvAB
751,ruvC,0.000354545,0.12807315,l/n,TRUE,TRUE,TRUE,ruvC
752,yebC,0.000821987,0.058507611,x,FALSE,FALSE,FALSE, 
753,nudB,0.002330973,0.038718076,x,FALSE,FALSE,FALSE, 
754,yecD,0.003483404,0.138875793,x,FALSE,FALSE,FALSE, 
755,yecO,0.000778013,0.0388426,x,FALSE,FALSE,FALSE, 
756,yecP,0.003558457,0.147726744,x,FALSE,FALSE,FALSE, 
757,torY,0.007924841,0.079613848,l/N,TRUE,TRUE,TRUE,torYZ
758,cutC,0.009045032,0.022815433,L/N,TRUE,FALSE,FALSE, 
759,yecM,0.004510148,0.066768288,l/n,FALSE,FALSE,FALSE, 
760,argS,0.00173129,0.059818605,h/l/n,FALSE,FALSE,TRUE,yecT
761,flhA,0.00131649,0.089225687,n,FALSE,FALSE,FALSE, 
762,cheZ,0.000668393,0.042355814,x,FALSE,FALSE,FALSE, 
763,cheR,0.004294926,0.036571987,x,FALSE,FALSE,FALSE, 
764,motB,0.00278203,0.081479598,x,FALSE,FALSE,FALSE, 
765,motA,0.002409302,0.035822939,n,FALSE,FALSE,FALSE, 
766,otsA,0.002455814,0.060589958,l/n,TRUE,TRUE,TRUE,otsA
767,araG,0.001037949,0.053459302,x,FALSE,FALSE,TRUE,araFGH
768,yecI,0.000586786,0.055232347,N,TRUE,TRUE,TRUE,ftnB
769,ftn,0.000236364,0.030044926,l/n,TRUE,TRUE,TRUE,ftnA
770,tyrP,0.003039218,0.071951374,l,FALSE,FALSE,FALSE, 
771,yecA,0.001583932,0.050375581,x,FALSE,FALSE,FALSE, 
772,pgsA,0.000312051,0.037018393,x,FALSE,FALSE,FALSE, 
773,uvrC,0.001774313,0.062983404,x,FALSE,FALSE,TRUE,uvrYC
774,yedW,0.002663953,0.05275592,H/L/N,TRUE,TRUE,TRUE,yedWV
775,yedX,0.003013953,0.070272622,H/L/N,TRUE,TRUE,TRUE,yedX
776,yedY,0.002280761,0.061418076,h/l/n,TRUE,TRUE,TRUE,yedYZ
777,yedZ,0.009398626,0.053900846,H/l/N,TRUE,TRUE,TRUE,yedYZ
778,yeeI,0.005778858,0.027273996,h/L/N,FALSE,FALSE,FALSE, 
779,amn,0.000866913,0.072993658,L/n,TRUE,TRUE,TRUE,amn
780,yeeN,0.00314704,0.05761723,L/N,TRUE,TRUE,TRUE,yeeN
781,nac,0.004090275,0.070715433,N,FALSE,FALSE,TRUE,nac
782,cobS,0.004000846,0.03567907,n,FALSE,FALSE,FALSE, 
783,yeeX,0,0.021586575,h,FALSE,FALSE,FALSE, 
784,sbmC,0.009119873,0.058964482,x,FALSE,FALSE,FALSE, 
785,sbcB,0.005973256,0.079040169,x,FALSE,FALSE,FALSE, 
786,yeeF,0.00141723,0.036813742,x,FALSE,FALSE,FALSE, 
787,yeeY,0.00217019,0.076827167,x,FALSE,FALSE,FALSE, 
788,hisG,0.001480127,0.092411205,x,FALSE,FALSE,FALSE, 
789,hisD,0.008538584,0.141426744,x,FALSE,FALSE,FALSE, 
790,hisC,0.007354334,0.133533087,x,FALSE,FALSE,FALSE, 
791,hisB,0.005311205,0.199501382,x,FALSE,FALSE,FALSE, 
792,hisH,0.003403383,0.16424186,x,FALSE,FALSE,FALSE, 
793,hisA,0.006946512,0.180761205,x,FALSE,FALSE,FALSE, 
794,hisI,0.010927167,0.229092895,x,FALSE,FALSE,FALSE, 
795,gnd,0.008031078,0.343016279,h/l/n,TRUE,TRUE,TRUE,gnd
796,galF,0.00729778,0.244630603,h/l/n,TRUE,TRUE,TRUE,galF
797,wzb,0.01922241,0.04821052,x,FALSE,FALSE,TRUE,wza-wzb-wzc
798,dcd,0.00147241,0.045462791,x,FALSE,FALSE,FALSE, 
799,udk,0.000186364,0.035911734,x,FALSE,FALSE,FALSE, 
800,alkA,0.014281712,0.087992812,x,FALSE,FALSE,FALSE, 
801,yegD,0.005098097,0.101699683,x,FALSE,FALSE,TRUE,yegI
802,yegK,0.025007822,0.152397569,x,TRUE,FALSE,FALSE, 
803,yegL,0.005175476,0.144574947,x,FALSE,FALSE,FALSE, 
804,mdtA,0.00491723,0.120597357,x,FALSE,FALSE,FALSE, 
805,mdtD,0.005151057,0.097254968,x,FALSE,FALSE,FALSE, 
806,baeS,0.010121353,0.227488901,x,FALSE,FALSE,FALSE, 
807,baeR,0.00257093,0.093304228,x,FALSE,FALSE,FALSE, 
808,yegP,0.003014693,0.037043446,x,FALSE,FALSE,FALSE, 
809,yegU,0.005717759,0.085280233,x,FALSE,FALSE,FALSE, 
810,yegW,0.001321987,0.049290063,n,FALSE,FALSE,FALSE, 
811,yegX,0.011916702,0.11445814,N,FALSE,FALSE,FALSE, 
812,thiD,0.002381078,0.049700846,n,FALSE,FALSE,FALSE, 
813,metG,0.001720507,0.13114778,n,FALSE,FALSE,FALSE, 
814,yehT,0.001054545,0.052257188,x,FALSE,FALSE,FALSE, 
815,yehU,0.000684144,0.04622241,x,FALSE,FALSE,FALSE, 
816,yehW,0.004373256,0.063459302,x,FALSE,FALSE,FALSE, 
817,yehX,0.007122833,0.121714588,x,FALSE,FALSE,FALSE, 
818,yehZ,0.00974852,0.158370719,x,FALSE,FALSE,FALSE, 
819,dld,0.001293763,0.083492072,x,FALSE,FALSE,FALSE, 
820,pbpG,0.001328224,0.046062051,x,FALSE,FALSE,FALSE, 
821,yohJ,0.001434038,0.038602643,x,FALSE,FALSE,FALSE, 
822,cdd,0.00146723,0.038479598,l,FALSE,FALSE,FALSE, 
823,sanA,8.18E-05,0.028109937,L/n,TRUE,TRUE,TRUE,sanA-yeiS
824,yeiT,0.011967125,0.113961628,l/n,TRUE,TRUE,TRUE,preTA
825,galS,0.002240803,0.037932135,x,FALSE,FALSE,FALSE, 
826,yeiB,0.006549789,0.080470613,x,FALSE,FALSE,FALSE, 
827,yeiG,0.004828436,0.120061628,x,FALSE,FALSE,FALSE, 
828,yeiE,0.000301903,0.035398414,x,FALSE,FALSE,FALSE, 
829,nfo,0.002168605,0.050862791,x,FALSE,FALSE,FALSE, 
830,rihB,0.003308351,0.134479281,n,TRUE,TRUE,TRUE,rihB
831,yeiL,0.006992495,0.083863214,N,TRUE,TRUE,TRUE,yeiL
832,yeiC,0.033168605,0.592893023,N,TRUE,TRUE,TRUE,pscKG
833,fruA,0.006065222,0.059018499,n,TRUE,FALSE,FALSE, 
834,yeiU,0.003262685,0.049233087,N,TRUE,TRUE,TRUE,yeiR-lpxT
835,spr,0.000209197,0.029416913,N,FALSE,FALSE,TRUE,spr
836,rtn,0.003760782,0.082029598,n,FALSE,FALSE,FALSE, 
837,yejB,0.002042178,0.061917865,x,FALSE,FALSE,FALSE, 
838,yejE,0.0017963,0.084497886,x,FALSE,FALSE,FALSE, 
839,yejF,0.004400423,0.048298732,x,FALSE,FALSE,FALSE, 
840,bcr,0.002763108,0.09525296,x,FALSE,FALSE,FALSE, 
841,rsuA,0.000259408,0.078435412,x,FALSE,FALSE,FALSE, 
842,yejH,0.003065222,0.098442389,x,FALSE,FALSE,FALSE, 
843,yejK,0.00066649,0.064437421,x,FALSE,FALSE,FALSE, 
844,yejM,0.000266385,0.046956025,n,FALSE,FALSE,FALSE, 
845,narP,0.0016963,0.061027907,l/n,FALSE,FALSE,TRUE,narP
846,ccmG,0.006952643,0.057646723,x,FALSE,FALSE,FALSE, 
847,ccmE,0.000381818,0.090830127,x,FALSE,FALSE,FALSE, 
848,ccmA,0.003383721,0.04151723,x,FALSE,FALSE,FALSE, 
849,napB,0.001541755,0.02724482,x,FALSE,FALSE,TRUE,napFDAGHBC
850,napG,0.000502643,0.029141121,x,FALSE,FALSE,TRUE,napFDAGHBC
851,napD,0.002655074,0.005562156,n,FALSE,FALSE,TRUE,napFDAGHBC
852,yojI,0.003559725,0.06634926,x,FALSE,FALSE,FALSE, 
853,alkB,0.011406871,0.082927273,n,FALSE,FALSE,FALSE, 
854,yojL,0.005063742,0.10821945,n,FALSE,FALSE,FALSE, 
855,yfaP,0.005666173,0.104644397,x,FALSE,FALSE,FALSE, 
856,ubiG,0.006369556,0.121107188,n,FALSE,FALSE,FALSE, 
857,yfaL,0.061468076,0.360825899,N,TRUE,TRUE,TRUE,yfaL
858,nrdA,0.000951163,0.070831712,n,FALSE,FALSE,TRUE,nrdAB-yfaE
859,nrdB,0.000572622,0.140183615,x,FALSE,FALSE,TRUE,nrdAB-yfaE
860,inaA,0.005368922,0.043797252,l/n,FALSE,FALSE,FALSE, 
861,glpQ,0.001831501,0.082085941,l/n,TRUE,TRUE,TRUE,glpTQ
862,glpT,0.001798097,0.069740803,x,FALSE,FALSE,FALSE, 
863,glpA,0.002676004,0.082912368,x,FALSE,FALSE,FALSE, 
864,glpB,0.009645772,0.155055708,x,FALSE,FALSE,FALSE, 
865,glpC,0.003815645,0.103578858,x,FALSE,FALSE,FALSE, 
866,yfaD,0.013362579,0.094673784,x,FALSE,FALSE,FALSE, 
867,yfaY,0.005895983,0.088495137,x,FALSE,FALSE,FALSE, 
868,yfaO,0.005147146,0.038444503,l/n,TRUE,TRUE,TRUE,nudI
869,ais,0.006603277,0.104664376,L/N,TRUE,TRUE,TRUE,ais
870,yfbE,0.006120402,0.049455391,l/n,TRUE,TRUE,TRUE,arnBCADTEF
871,yfbF,0.003465433,0.06406945,x,FALSE,FALSE,TRUE,arnBCADTEF
872,yfbH,0.006301163,0.047024947,x,FALSE,FALSE,TRUE,arnBCADTEF
873,arnT,0.003743552,0.047424947,x,FALSE,FALSE,TRUE,arnBCADTEF
874,yfbJ,0.005849683,0.057954123,N,FALSE,FALSE,TRUE,arnBCADTEF
875,yfbB,0.010376744,0.069306237,x,FALSE,FALSE,FALSE, 
876,elaA,0.038363319,0.427752008,x,TRUE,TRUE,TRUE,elaA
877,elaC,0.010075476,0.087869027,h/l/n,TRUE,TRUE,TRUE,rbn
878,yfbM,0.004579387,0.100436469,H/L/n,TRUE,TRUE,TRUE,yfbM
879,nuoM,0.00101723,0.069174101,x,FALSE,FALSE,FALSE, 
880,nuoL,0.000884989,0.050728118,x,FALSE,FALSE,FALSE, 
881,nuoK,0,0.034478436,x,FALSE,FALSE,FALSE, 
882,nuoJ,0.000113636,0.046535941,x,FALSE,FALSE,FALSE, 
883,nuoI,0,0.022395455,x,FALSE,FALSE,FALSE, 
884,nuoH,0.00071797,0.040985729,x,FALSE,FALSE,FALSE, 
885,nuoG,0.001662051,0.075009302,x,FALSE,FALSE,FALSE, 
886,nuoF,0.000917548,0.113676744,x,FALSE,FALSE,FALSE, 
887,nuoC,0.000904228,0.071912685,x,FALSE,FALSE,FALSE, 
888,lrhA,0.001801691,0.041819133,x,TRUE,TRUE,TRUE,lrhA
889,yfbQ,0.000376744,0.042036575,x,TRUE,TRUE,TRUE,alaA
890,yfbR,0.002067442,0.045172622,x,FALSE,FALSE,TRUE,alaA-yfbR
891,yfbT,0.003069767,0.057333087,x,FALSE,FALSE,FALSE, 
892,ackA,0.0001,0.010357505,n,FALSE,FALSE,FALSE, 
893,yfcE,0.000730655,0.02004704,x,FALSE,FALSE,FALSE, 
894,yfcG,0.004750211,0.057578858,x,FALSE,FALSE,FALSE, 
895,folX,0.000319662,0.013422727,x,FALSE,FALSE,TRUE,yfcI
896,yfcH,0.008287526,0.078265116,n,FALSE,FALSE,TRUE,yfcI
897,hisQ,0.016449154,0.100901586,x,FALSE,FALSE,FALSE, 
898,ubiX,0.002625793,0.08882389,x,FALSE,FALSE,FALSE, 
899,purF,0.000867865,0.066993975,x,FALSE,FALSE,FALSE, 
900,cvpA,0.001594609,0.036097463,n,FALSE,FALSE,FALSE, 
901,folC,0.002316808,0.036837738,n,FALSE,FALSE,FALSE, 
902,accD,0.000104545,0.052317442,x,FALSE,FALSE,FALSE, 
903,truA,0.002051797,0.048641649,x,FALSE,FALSE,FALSE, 
904,trmC,0.015541755,0.133108668,x,FALSE,FALSE,FALSE, 
905,yfcA,0.00167093,0.178274947,x,FALSE,FALSE,TRUE,yfcUTSRQPO
906,yfcO,0.260353383,0.793999595,H/N,FALSE,FALSE,TRUE,yfcUTSRQPO
907,yfcP,0.179125793,0.80386,h/n,FALSE,FALSE,TRUE,yfcUTSRQPO
908,yfcQ,0.290440381,0.700705195,n,FALSE,FALSE,TRUE,yfcUTSRQPO
909,yfcR,0.253577907,0.573245882,N,FALSE,FALSE,TRUE,yfcUTSRQPO
910,yfcV,0.127794926,0.59701521,x,TRUE,TRUE,TRUE,yfcUTSRQPO
911,sixA,0.006082452,0.082537421,x,TRUE,TRUE,TRUE,sixA
912,yfcX,0.009419027,0.093911628,x,FALSE,FALSE,FALSE, 
913,fadL,0.045208562,0.317913108,l/n,TRUE,TRUE,TRUE,fadL
914,vacJ,0.001291649,0.078394926,h/l/n,FALSE,FALSE,FALSE, 
915,yfdC,0.002654968,0.065379598,H/l/n,TRUE,TRUE,TRUE,yfdC
916,frc,0.000587209,0.047323044,H/l/n,TRUE,TRUE,TRUE,frc
917,ddg,0.003847569,0.06542537,x,FALSE,FALSE,FALSE, 
918,yfdZ,0.001781607,0.126175053,x,FALSE,FALSE,FALSE, 
919,ypdA,0.00075518,0.091480867,x,FALSE,FALSE,FALSE, 
920,ypdC,0.003586469,0.098037209,x,FALSE,FALSE,FALSE, 
921,ypdE,0.005909619,0.141975687,x,FALSE,FALSE,FALSE, 
922,ypdF,0.014604334,0.105394715,x,FALSE,FALSE,FALSE, 
923,ypdG,0.002849577,0.090892178,x,FALSE,FALSE,FALSE, 
924,glk,0.001619027,0.053988161,x,FALSE,FALSE,FALSE, 
925,yfeO,0.005413531,0.05449556,x,FALSE,FALSE,FALSE, 
926,nupC,0.000700529,0.068948626,l/n,FALSE,FALSE,FALSE, 
927,yfeC,0.001357082,0.040317548,L/n,FALSE,FALSE,FALSE, 
928,yfeD,0.02150296,0.232448626,L/N,FALSE,FALSE,FALSE, 
929,gltX,0.001644292,0.064090803,l/n,FALSE,FALSE,FALSE, 
930,yfeH,0.001634778,0.057296195,x,FALSE,FALSE,FALSE, 
931,cysK,0.000187949,0.050117865,x,FALSE,FALSE,FALSE, 
932,ptsI,0.000541332,0.013616279,x,FALSE,FALSE,FALSE, 
933,crr,0.000456237,0.04227315,x,FALSE,FALSE,FALSE, 
934,cysM,0.003457082,0.150392072,l/n,FALSE,FALSE,FALSE, 
935,cysA,0.002635835,0.162259514,x,FALSE,FALSE,FALSE, 
936,ucpA,0.002066596,0.079209937,x,FALSE,FALSE,FALSE, 
937,yfeU,0.010049366,0.160194186,x,FALSE,FALSE,FALSE, 
938,murP,0.003974947,0.118196723,x,FALSE,FALSE,FALSE, 
939,yfeY,0.003902537,0.063942178,x,FALSE,FALSE,FALSE, 
940,ypeA,0.001580761,0.047927061,N,FALSE,FALSE,FALSE, 
941,amiA,0.003771564,0.095058562,n,FALSE,FALSE,FALSE, 
942,hemF,0.005636786,0.108100529,x,FALSE,FALSE,FALSE, 
943,yfeG,0.003188372,0.120623784,n,FALSE,FALSE,FALSE, 
944,yffI,0.002864905,0.028066702,N,FALSE,FALSE,FALSE, 
945,eutL,0.005553383,0.132093446,n,FALSE,FALSE,FALSE, 
946,eutG,0.006371987,0.131191438,H,FALSE,FALSE,FALSE, 
947,eutJ,0.005016068,0.097014059,H,FALSE,FALSE,FALSE, 
948,eutE,0.004215856,0.077486258,H,FALSE,FALSE,FALSE, 
949,cchB,0.00113277,0.025808562,H,FALSE,FALSE,FALSE, 
950,eutI,0.002136681,0.078818605,H,FALSE,FALSE,TRUE,eutSPQTDM
951,eutT,0.00466723,0.064507188,H,FALSE,FALSE,TRUE,eutSPQTDM
952,eutQ,0.00795814,0.157629598,h,FALSE,FALSE,TRUE,eutSPQTDM
953,eutP,0.004682981,0.040249049,n,TRUE,TRUE,TRUE,eutSPQTDM
954,ypfE,0.001189218,0.116311416,N,TRUE,TRUE,TRUE,eutSPQTDM
955,talA,0.000661522,0.047942706,x,FALSE,FALSE,FALSE, 
956,ypfG,0.004798414,0.079206237,x,FALSE,FALSE,FALSE, 
957,yffH,0.006098097,0.068089112,x,FALSE,FALSE,FALSE, 
958,narQ,0.001650634,0.066117125,x,FALSE,FALSE,FALSE, 
959,yffB,0.009974947,0.035501057,x,TRUE,TRUE,TRUE,yffB-dapE-ypfN
960,dapE,0.001533298,0.071328964,x,FALSE,FALSE,TRUE,yffB-dapE-ypfN
961,ypfH,0.003567019,0.078234144,x,FALSE,FALSE,FALSE, 
962,ypfJ,0.000731395,0.064943975,x,FALSE,FALSE,FALSE, 
963,purC,0.000163742,0.04282389,x,FALSE,FALSE,FALSE, 
964,gcvR,0.000266385,0.033912791,N,FALSE,FALSE,FALSE, 
965,bcp,0,0.011411734,N,FALSE,FALSE,FALSE, 
966,yfgC,0.001974101,0.086153277,x,FALSE,FALSE,FALSE, 
967,uraA,0.000695772,0.044912474,x,FALSE,FALSE,FALSE, 
968,upp,0,0.037713531,x,FALSE,FALSE,FALSE, 
969,purM,0.0021,0.058894609,x,FALSE,FALSE,FALSE, 
970,purN,0.002494715,0.031460677,x,FALSE,FALSE,FALSE, 
971,ppk,0.000393129,0.059043235,x,FALSE,FALSE,FALSE, 
972,ppx,0.000365539,0.060382135,n,FALSE,FALSE,FALSE, 
973,yfgH,0.002415222,0.051686575,L/N,TRUE,TRUE,TRUE,yfgHI
974,guaB,0.000537844,0.129798203,x,FALSE,FALSE,TRUE,yfgJ
975,der,0.001238689,0.06348055,l/n,FALSE,FALSE,FALSE, 
976,yfgL,0.002642389,0.024163848,x,FALSE,FALSE,FALSE, 
977,hisS,0.000342495,0.048424207,x,FALSE,FALSE,FALSE, 
978,ispG,0.000319662,0.046499789,x,FALSE,FALSE,FALSE, 
979,yfhM,0.006091015,0.081929281,x,FALSE,FALSE,FALSE, 
980,sseA,0.002981184,0.062910994,x,TRUE,TRUE,TRUE,sseA
981,fdx,0.002700951,0.065655497,x,FALSE,FALSE,FALSE, 
982,iscA,0.000186364,0.04838351,x,FALSE,FALSE,FALSE, 
983,iscU,0.000301903,0.030496406,x,FALSE,FALSE,FALSE, 
984,iscS,5.00E-05,0.051909302,x,FALSE,FALSE,FALSE, 
985,iscR,0.000674841,0.021755074,x,FALSE,FALSE,FALSE, 
986,yfhQ,0.00065074,0.073785095,x,FALSE,FALSE,FALSE, 
987,yphB,0.012038055,0.102962685,n,FALSE,FALSE,FALSE, 
988,yphD,0.003817653,0.114046934,x,FALSE,FALSE,TRUE,yphFED
989,yphE,0.004450211,0.079772833,l,FALSE,FALSE,TRUE,yphFED
990,yphH,0.006114905,0.103782875,x,FALSE,FALSE,FALSE, 
991,hmp,0.002232558,0.037286364,x,FALSE,FALSE,FALSE, 
992,yfhA,0.001382664,0.106932875,x,FALSE,FALSE,FALSE, 
993,yfhG,0.007385201,0.047559514,x,FALSE,FALSE,FALSE, 
994,yfhK,0.001297674,0.079577484,x,FALSE,FALSE,FALSE, 
995,yfhL,0.010559725,0.08962389,N,TRUE,TRUE,TRUE,yfhL
996,recO,0.001270719,0.053526321,x,FALSE,FALSE,FALSE, 
997,rnc,0,0.051804228,x,FALSE,FALSE,FALSE, 
998,lepB,0.000510465,0.051504228,x,FALSE,FALSE,FALSE, 
999,lepA,0.00047389,0.053228753,n,FALSE,FALSE,FALSE, 
1000,rseC,0.006188372,0.076951374,N,FALSE,FALSE,FALSE, 
1001,rseB,0.001422199,0.038062262,n,FALSE,FALSE,FALSE, 
1002,rseA,0.001158879,0.033396617,n,FALSE,FALSE,FALSE, 
1003,rpoE,0,0.007462156,N,FALSE,FALSE,FALSE, 
1004,yfiC,0.011970507,0.110066913,N,FALSE,FALSE,FALSE, 
1005,srmB,0.000305497,0.079762896,n,FALSE,FALSE,FALSE, 
1006,ung,0.002535729,0.138888055,x,FALSE,FALSE,FALSE, 
1007,trxC,0.000697992,0.055634672,n,FALSE,FALSE,FALSE, 
1008,yfiP,0.00533277,0.050902431,N,FALSE,FALSE,FALSE, 
1009,pssA,0.000594503,0.029936575,x,FALSE,FALSE,FALSE, 
1010,clpB,0.000160148,0.047054757,n,FALSE,FALSE,FALSE, 
1011,yfiH,0.008214588,0.089844503,x,FALSE,FALSE,FALSE, 
1012,yfiO,0.000163636,0.028591755,x,FALSE,FALSE,FALSE, 
1013,pheA,0.001819133,0.069186152,x,FALSE,FALSE,FALSE, 
1014,tyrA,0.001684567,0.061657294,x,FALSE,FALSE,FALSE, 
1015,aroF,0.00147019,0.028492495,h/l/n,FALSE,FALSE,FALSE, 
1016,yfiR,0.004007188,0.039090275,h/L/N,TRUE,TRUE,TRUE,yfiRN
1017,yfiN,0.004877907,0.058753066,l/n,TRUE,TRUE,TRUE,yfiRN
1018,yfiB,0.004349471,0.038591649,N,FALSE,FALSE,TRUE,yfiRNB
1019,rplS,0,0.00159778,n,FALSE,FALSE,FALSE, 
1020,trmD,0.000666808,0.021229493,x,FALSE,FALSE,FALSE, 
1021,rimM,0,0.026450317,x,FALSE,FALSE,FALSE, 
1022,rpsP,0,0,x,FALSE,FALSE,FALSE, 
1023,ffh,0.000270296,0.077582347,x,FALSE,FALSE,FALSE, 
1024,ypjD,0.000287526,0.051586998,x,FALSE,FALSE,FALSE, 
1025,yfjB,0.001412368,0.082729598,x,FALSE,FALSE,FALSE, 
1026,recN,0.004175053,0.069853383,x,FALSE,FALSE,FALSE, 
1027,smpA,0.000395455,0.06724186,x,FALSE,FALSE,FALSE, 
1028,yfjG,0.004454123,0.125168605,H/N,FALSE,FALSE,FALSE, 
1029,smpB,0.000245772,0.074455285,h/l/n,FALSE,FALSE,FALSE, 
1030,ygaT,0.008049894,0.156405708,h/L/N,FALSE,FALSE,FALSE, 
1031,ygaF,0.00759186,0.101042706,l/n,FALSE,FALSE,FALSE, 
1032,gabD,0.005024524,0.127164271,x,FALSE,FALSE,FALSE, 
1033,gabT,0.004894926,0.142923679,x,FALSE,FALSE,FALSE, 
1034,gabP,0.002539218,0.102924947,x,FALSE,FALSE,FALSE, 
1035,csiR,0.002233827,0.092277696,x,FALSE,FALSE,FALSE, 
1036,ygaV,0.005846934,0.047772304,h/l,TRUE,TRUE,TRUE,ygaVP
1037,ygaP,0.000431818,0.027702854,H/L,TRUE,TRUE,TRUE,ygaVP
1038,stpA,0.002530444,0.046479915,h/l/n,TRUE,TRUE,TRUE,stpA
1039,ygaW,0.001941649,0.020411628,l/N,TRUE,TRUE,TRUE,alaE
1040,ygaC,0.000533827,0.059,L/n,TRUE,TRUE,TRUE,ygaC
1041,ygaM,0.000909937,0.140307717,l,FALSE,FALSE,FALSE, 
1042,nrdI,0.002332135,0.056912262,x,FALSE,FALSE,FALSE, 
1043,nrdE,0.005947357,0.092443869,x,FALSE,FALSE,FALSE, 
1044,proV,0.001319767,0.063265222,x,TRUE,TRUE,TRUE,proVWX
1045,proW,0.001921142,0.063165328,x,FALSE,FALSE,TRUE,proVWX
1046,proX,0.002039323,0.10722537,x,FALSE,FALSE,TRUE,proVWX
1047,ygaZ,0.001049683,0.018889429,x,FALSE,FALSE,FALSE, 
1048,ygaH,0.005831395,0.027786681,x,FALSE,FALSE,FALSE, 
1049,mprA,0.000750317,0.032547569,x,FALSE,FALSE,FALSE, 
1050,emrB,0.000575264,0.07168351,x,FALSE,FALSE,FALSE, 
1051,recX,0.001874524,0.035512685,x,FALSE,FALSE,FALSE, 
1052,ygaD,0.002739958,0.075391015,x,FALSE,FALSE,FALSE, 
1053,mltB,0.002388372,0.060170719,x,FALSE,FALSE,FALSE, 
1054,gutQ,0.005388795,0.125549894,x,FALSE,FALSE,FALSE, 
1055,norR,0.004348097,0.111955074,x,FALSE,FALSE,FALSE, 
1056,norW,0.008346723,0.070363214,x,FALSE,FALSE,FALSE, 
