acpH b0404
yeeS b2002
yacL b0119
yedJ b1962
yedF b1930
yadH b0128
ycfS b1113
ydfG b1539
yehL b2119
yegT b2098
yaaX b0005
ydhQ b1664
yabR b4726
ydhT b1669
ychE b1242
yciX b4523
ycjD b1289
ybdJ b0580
yhcN b3238
yphF b2548
yhcD b3216
yjaG b3999
yjbS b4621
ygeI b2853
yjfM b4185
yliM b4736
ygeR b2865
yfhL b2562
yiaC b3550
yohD b2136
yohO b4542
ynbG b4674
ynaJ b1332
yhgF b3407
yfdR b2361
yraP b3150
ysgD b4799
yqjD b3098
zntR b3292
suhB b2533
sufC b1682
sucD b0729
pheT b1713
trpA b1260
tqsA b1601
wcaL b2044
ydiM b1690
ychH b1205
yceD b1088
ybjG b0841
ydaS b1357
ydjM b1728
ydaV b1360
yddJ b1470
yedS b4496
yejF b2180
yddY b4746
yddK b1471
yacH b0117
yddE b1464
ydeO b1499
yadV b0140
ydfU b1560
ydfK b1544
ydhX b1671
yehQ b2122
yehR b2123
ybeM b4581
yciF b1258
ycjN b1310
ybaL b0478
ybcV b0558
ybdN b0602
ybcH b0567
yhbX b3173
ymdG b4737
yhbW b3160
ygiV b3023
yjeJ b4145
ylbE b4572
yjbI b4038
yncO b4745
yggC b2928
ymfQ b1153
ygeY b2872
yghX b4658
yjgH b4248
yljB b4770
yfeH b2410
yghF b2970
yjiR b4340
yjhB b4279
yffS b2450
yfeX b2431
yfeS b2420
yjjA b4360
yfgM b2513
ynfN b1551
ynfF b1588
yfjS b2636
yfjQ b2633
yoeI b4678
yhdW b3268
yobI b4677
yfaE b2236
yieK b3718
yqeL b4683
yijD b3964
yiaF b3554
yhhS b3473
ynaA b1368
yifE b3764
yfdN b2357
yfcN b2331
yriA b4791
yriB b4792
yraR b3152
yrdD b3283
tfaS b2353
thiB b0068
tilS b0188
torZ b1872
trmL b3606
yfiC b2575
trmB b2960
topB b1763
torC b0996
tsaD b3064
uspE b1333
uraA b2497
ulaD b4196
wcaM b2043
ybhC b0772
ybgO b0716
ycaD b0898
ycaP b0906
yeaG b1783
ybhF b0794
ycbB b0925
ybiR b0818
yahO b0329
ydiN b1691
ydiT b1700
ychN b1219
ydjE b1769
yedA b1959
yeeD b2012
ydeN b1498
ydeP b1501
yegH b2063
yegV b2100
ygfK b2878
yibQ b3614
yfjU b2638
yidI b3677
yhfG b3362
yiiR b3921
yohK b2142
yihF b3861
argS b1876
tatE b0627
tdcG b4471
tdcR b3119
valS b4258
tolR b0738
tolA b0739
tktB b2465
torR b0995
torS b0993
uup b0949 
umuD b1183
wecB b3786
xapB b2406
yjeH b4141
ygeQ b2863
ymfR b1150
yhjE b3523
ylcG b4509
yfeN b2408
yfjL b2628
ymiD b4772
yhdU b3263
yfjZ b2645
yibH b3597
yfjT b2637
yiaM b3577
ymjA b1295
yohC b2135
yfaA b2230
yheT b3353
yheU b3354
yqeK b2849
yhhA b3448
yoaA b1808
yhfW b3380
yhfX b3381
yohP b4679
ynjC b1755
yhjB b3520
ynjD b1756
yfdP b2359
yrfG b3399
yqhD b3011
yraN b3148
tcyN b1917
treA b1197
tonB b1252
uspF b1376
ulaF b4198
uidC b1615
ulaC b4195
ygeK b2856
yjgN b4257
yghS b2985
ymjD b4673
yjjV b4378
ymjE b4742
yfhG b2555
yjjJ b4385
raiA b2597
ypaB b4605
yihL b3872
yqeH b2846
ynbE b1382
yqgA b2966
yidL b3680
ykgA b0300
yigG b3818
yfcJ b2322
yigB b3812
ykgL b0295
yfdI b2352
ynjB b1754
yfeD b2399
yqaE b2666
yqhG b3013
yraQ b3151
ysdE b4798
tehA b1429
tdcF b3113
talA b2464
tamA b4220
trmH b3651
trxB b0888
tsx b0411 
ucpA b2426
ispU b0174
wcaE b2055
xylF b3566
ydjA b1765
ydiQ b1697
ydiO b1695
ydiR b1698
ydjF b1770
ydjO b1730
ydeK b1510
ybeY b0659
yeeZ b2016
ydfD b1576
ydfO b1549
yegX b2102
ybaT b0486
yciN b1273
ybcO b0549
ybdF b0579
ybdG b0577
ygbI b2735
yibN b3611
yicR b3638
ylbG b0502
ynaL b4743
yqeJ b2848
yqfI b4754
yfbL b2271
yheV b4551
yiiS b3922
yfbO b2274
yfcO b2332
yfdM b2356
yobD b1820
zraR b4004
zapB b3928
smg b3284 
sutR b1434
tesA b0494
tesB b0452
tdcC b3116
tolB b0740
tusD b3345
uxaC b3092
uvrY b1914
viaA b3745
wcaD b2056
gpt b0238 
ydhF b1647
yegQ b2081
yciG b1259
ybdR b0608
ybbY b0513
yciO b1267
ybaA b0456
ybdD b4512
ypeA b2434
ybbO b0493
ymcF b4723
yjaB b4012
yhcF b3219
ypjC b2650
ygaH b2683
yjbJ b4045
ygcG b2778
ygiZ b3027
ygdT b4610
ylaC b0458
ymfM b1148
yjcH b4068
ypjD b2611
ygdI b2809
ypjF b2646
yjcZ b4110
yhdZ b3271
yqiD b4756
yqiG b3046
thiK b1106
uvrA b4058
ugpB b3453
uhpB b3668
uvrC b1913
vsr b1960 
ycaI b0913
yafL b0227
yeaK b1787
yccE b1001
yeaR b1797
yahJ b0324
yafY b0251
yebE b1846
ycdU b1029
ybhJ b0771
ybjI b0844
yajL b0424
yecA b1908
ydiH b1685
ydaW b1361
ydcC b1460
ydcH b1426
ydcT b1441
ydcY b1446
ydcJ b1423
yddH b1462
yddM b1477
yeeO b1985
ydeI b1536
yddL b1472
ydeR b1503
yegI b2070
yadK b0136
ydeQ b1502
yadX b4765
ydfV b1565
ydgD b1598
yehZ b2131
ybeQ b0644
ygjK b3080
yjdI b4126
ylcH b4588
yneE b1520
yjgZ b4277
yjgL b4253
yjfP b4190
yghU b2989
yffR b2449
yjiJ b4332
ymgE b1195
yffM b2444
yffN b2445
yjiK b4333
yjiP b4338
yiaU b3585
yohJ b2141
yheO b3346
yhfU b3378
yfaH b2238
ynaI b1330
yieE b3712
ykfA b0253
yieH b3715
ykfB b0250
ykgG b0308
yoaG b1796
ykfM b4586
yfcR b2335
ykgS b4688
yigA b3810
yfcL b2325
ynjE b1757
yoaL b4751
yfeC b2398
ythA b4655
yraI b3143
hisS b2514
tdcE b3114
tas b2834 
ulaB b4194
wzzE b3785
wzzB b2027
 b0309
yaeR b0187
ybgQ b0718
ybfG b0691
yeaH b1784
yagG b0270
yafQ b0225
yafJ b0223
yaiA b0389
yccU b0965
ybiE b4769
yecE b1868
yajC b0407
ydiJ b1687
yeeJ b1978
yedI b1958
yadN b0141
ydeU b1509
ycfP b1108
ycgM b1180
ycgJ b1177
yegW b2101
ybeD b0631
yciU b1248
yciK b1271
yciH b1282
ypdA b2380
ypdJ b4545
yhaV b3130
yhbQ b3155
ygaV b2667
ygiM b3055
ygbE b2749
ygiW b3024
ypjJ b4548
yibT b4554
yjeM b4156
ymfE b1138
ygcS b2771
yjeV b4670
yibY b4796
yneP b4747
yghR b2984
ynfL b1595
yjhC b4280
ynfR b4749
yjiG b4329
ynfS b4750
ynfT b4748
yjiH b4330
yfiL b2602
yfiS b4783
yodE b4780
yibJ b3595
yqgE b2948
yfaP b2225
yidR b3689
yiiD b3888
yhhL b3466
ykfJ b0235
ykfG b0247
yhhN b3468
yifL b4558
ykiC b4731
yifN b3777
yfcE b2300
yoaI b1788
ykgJ b0288
yoaB b1809
ykgN b4505
yoaM b4779
ykgR b4671
yifB b3765
yhjA b3518
yhhZ b3442
zraS b4003
yzcX b3808
ytfJ b4216
glnS b0680
trxC b2582
treF b3519
ttdR b3060
tsaC b3282
ubiC b4039
uxaA b3091
wecH b3561
xylA b3565
ybgC b0736
ybgE b0735
yeaV b1801
yebG b1848
ybhP b0790
ybiB b0800
ybiS b0819
ydiE b1705
ycfJ b1110
ycgL b1179
ydgC b1607
yadL b0137
ycfZ b1121
yehP b2121
yaaW b0011
ybeR b0645
ybbP b0496
ybcM b0546
ybcW b0559
ypdB b2381
yidC b3705
ygeV b2869
yjeT b4176
yjdC b4135
ygcE b2776
yhjD b3522
yghA b3003
yjgW b4274
yhjX b3547
ynfB b1583
yghW b2998
yjhQ b4307
yghG b2971
yjiT b4342
ynfM b1596
yjiV b4486
ymgF b4520
ynhF b4602
ynfP b4534
ymgK b4738
yfgH b2505
yjiC b4325
yjjG b4374
yfjM b2629
yiaB b3563
yiiX b3937
yqgD b2941
yijF b3944
yfbN b2273
ynbA b1408
yieL b3719
yfbU b2294
yihD b3858
yfdT b2363
yqiM b4787
yqjF b3101
yqjE b3099
yrdB b3280
tdcA b3118
tatB b3838
tfaD b0561
trmA b3965
ushA b0480
wecD b3790
wzxC b2046
ygiL b3043
ymgD b1171
yicG b3646
yliI b0837
ygjI b3078
yggL b2959
yncH b1455
yjhH b4298
yjhR b4308
ynfE b1587
yfeO b2389
ymgG b1172
yjjZ b4567
yfhH b2561
yjjI b4380
yihR b3879
yidG b3675
yihX b3885
yfbS b2292
yifK b3795
ykfI b0245
yhfY b3382
yhgE b3402
yhfZ b3383
yiiG b3896
yfcZ b2343
yhhJ b3485
yfcS b2336
yfdS b2362
yoaK b4676
yqiH b3047
yqhH b3014
ygiA b3036
yzfA b4223
