qseqid	sseqid	A_gene	B_gene
sp|P31665|RPNC_ECOLI	sp|P31665|RPNC_ECOLI	rpnC	rpnC
sp|P31666|YADE_ECOLI	sp|P31666|YADE_ECOLI	yadE	yadE
sp|P31667|RPNA_ECOLI	sp|P31667|RPNA_ECOLI	rpnA	rpnA
sp|P31675|SETA_ECOLI	sp|P31675|SETA_ECOLI	setA	setA
sp|P31677|OTSA_ECOLI	sp|P31677|OTSA_ECOLI	otsA	otsA
sp|P31678|OTSB_ECOLI	sp|P31678|OTSB_ECOLI	otsB	otsB
sp|P31679|YAAU_ECOLI	sp|P31679|YAAU_ECOLI	yaaU	yaaU
sp|P31680|DJLA_ECOLI	sp|P31680|DJLA_ECOLI	djlA	djlA
sp|P31697|FIMC_ECOLI	sp|P31697|FIMC_ECOLI	fimC	fimC
sp|P31801|CHAA_ECOLI	sp|P31801|CHAA_ECOLI	chaA	chaA
sp|P31802|NARP_ECOLI	sp|P31802|NARP_ECOLI	narP	narP
sp|P31806|NNR_ECOLI	sp|P31806|NNR_ECOLI	nnr	nnr
sp|P31808|YCIK_ECOLI	sp|P31808|YCIK_ECOLI	yciK	yciK
sp|P31825|TRMN6_ECOLI	sp|P31825|TRMN6_ECOLI	yfiC	yfiC
sp|P31826|YDDA_ECOLI	sp|P31826|YDDA_ECOLI	yddA	yddA
sp|P31827|YDDB_ECOLI	sp|P31827|YDDB_ECOLI	yddB	yddB
sp|P31828|PQQL_ECOLI	sp|P31828|PQQL_ECOLI	pqqL	pqqL
sp|P31979|NUOF_ECOLI	sp|P31979|NUOF_ECOLI	nuoF	nuoF
sp|P31991|YDCD_ECOLI	sp|P31991|YDCD_ECOLI	ydcD	ydcD
sp|P31992|PPTA_ECOLI	sp|P31992|PPTA_ECOLI	pptA	pptA
sp|P32051|YDEK_ECOLI	sp|P32051|YDEK_ECOLI	ydeK	ydeK
sp|P32053|INTA_ECOLI	sp|P32053|INTA_ECOLI	intA	intA
sp|P32055|FCL_ECOLI	sp|P32055|FCL_ECOLI	fcl	fcl
sp|P32056|GMM_ECOLI	sp|P32056|GMM_ECOLI	gmm	gmm
sp|P32057|WCAI_ECOLI	sp|P32057|WCAI_ECOLI	wcaI	wcaI
sp|P32099|LPLA_ECOLI	sp|P32099|LPLA_ECOLI	lplA	lplA
sp|P32106|YIBG_ECOLI	sp|P32106|YIBG_ECOLI	yibG	yibG
sp|P32108|YIBI_ECOLI	sp|P32108|YIBI_ECOLI	yibI	yibI
sp|P32109|YIBJ_ECOLI	sp|P32109|YIBJ_ECOLI	yibJ	yibJ
sp|P32125|MOBB_ECOLI	sp|P32125|MOBB_ECOLI	mobB	mobB
sp|P32128|YIHF_ECOLI	sp|P32128|YIHF_ECOLI	yihF	yihF
sp|P32129|YIHG_ECOLI	sp|P32129|YIHG_ECOLI	yihG	yihG
sp|P32131|HEMN_ECOLI	sp|P32131|HEMN_ECOLI	hemN	hemN
sp|P32134|YIHM_ECOLI	sp|P32134|YIHM_ECOLI	yihM	yihM
sp|P32135|YIHN_ECOLI	sp|P32135|YIHN_ECOLI	yihN	yihN
sp|P32136|YIHO_ECOLI	sp|P32136|YIHO_ECOLI	yihO	yihO
sp|P32137|YIHP_ECOLI	sp|P32137|YIHP_ECOLI	yihP	yihP
sp|P32138|SQASE_ECOLI	sp|P32138|SQASE_ECOLI	yihQ	yihQ
sp|P32139|YIHR_ECOLI	sp|P32139|YIHR_ECOLI	yihR	yihR
sp|P32140|SQUS_ECOLI	sp|P32140|SQUS_ECOLI	yihS	yihS
sp|P32141|SQUT_ECOLI	sp|P32141|SQUT_ECOLI	yihT	yihT
sp|P32143|SQUV_ECOLI	sp|P32143|SQUV_ECOLI	yihV	yihV
sp|P32144|CSQR_ECOLI	sp|P32144|CSQR_ECOLI	csqR	csqR
sp|P32151|YIIG_ECOLI	sp|P32151|YIIG_ECOLI	yiiG	yiiG
sp|P32152|FRVR_ECOLI	sp|P32152|FRVR_ECOLI	frvR	frvR
sp|P32153|FRVX_ECOLI	sp|P32153|FRVX_ECOLI	frvX	frvX
sp|P32154|PTFLB_ECOLI	sp|P32154|PTFLB_ECOLI	frvB	frvB
sp|P32155|PTFLA_ECOLI	sp|P32155|PTFLA_ECOLI	frvA	frvA
sp|P32156|RHAM_ECOLI	sp|P32156|RHAM_ECOLI	rhaM	rhaM
sp|P32157|YIIM_ECOLI	sp|P32157|YIIM_ECOLI	yiiM	yiiM
sp|P32160|YIIQ_ECOLI	sp|P32160|YIIQ_ECOLI	yiiQ	yiiQ
sp|P32162|YIIS_ECOLI	sp|P32162|YIIS_ECOLI	yiiS	yiiS
sp|P32166|MENA_ECOLI	sp|P32166|MENA_ECOLI	menA	menA
sp|P32167|YIIX_ECOLI	sp|P32167|YIIX_ECOLI	yiiX	yiiX
sp|P32169|RHAD_ECOLI	sp|P32169|RHAD_ECOLI	rhaD	rhaD
sp|P32170|RHAA_ECOLI	sp|P32170|RHAA_ECOLI	rhaA	rhaA
sp|P32171|RHAB_ECOLI	sp|P32171|RHAB_ECOLI	rhaB	rhaB
sp|P32173|MOBA_ECOLI	sp|P32173|MOBA_ECOLI	mobA	mobA
sp|P32176|FDOG_ECOLI	sp|P32176|FDOG_ECOLI	fdoG	fdoG
sp|P32177|FDHD_ECOLI	sp|P32177|FDHD_ECOLI	fdhD	fdhD
sp|P32662|GPH_ECOLI	sp|P32662|GPH_ECOLI	gph	gph
sp|P32664|NUDC_ECOLI	sp|P32664|NUDC_ECOLI	nudC	nudC
sp|P32668|YIJF_ECOLI	sp|P32668|YIJF_ECOLI	yijF	yijF
sp|P32669|FSAB_ECOLI	sp|P32669|FSAB_ECOLI	fsaB	fsaB
sp|P32670|PTFX2_ECOLI	sp|P32670|PTFX2_ECOLI	ptsA	ptsA
sp|P32672|PTFC2_ECOLI	sp|P32672|PTFC2_ECOLI	frwC	frwC
sp|P32674|GRE1_ECOLI	sp|P32674|GRE1_ECOLI	pflD	pflD
sp|P32675|PFLC_ECOLI	sp|P32675|PFLC_ECOLI	pflC	pflC
sp|P32676|PTFB3_ECOLI	sp|P32676|PTFB3_ECOLI	frwD	frwD
sp|P32677|YIJO_ECOLI	sp|P32677|YIJO_ECOLI	yijO	yijO
sp|P32680|YJAG_ECOLI	sp|P32680|YJAG_ECOLI	yjaG	yjaG
sp|P32681|YJAH_ECOLI	sp|P32681|YJAH_ECOLI	yjaH	yjaH
sp|P32684|RLUF_ECOLI	sp|P32684|RLUF_ECOLI	rluF	rluF
sp|P32685|YJBD_ECOLI	sp|P32685|YJBD_ECOLI	yjbD	yjbD
sp|P32687|YJBF_ECOLI	sp|P32687|YJBF_ECOLI	yjbF	yjbF
sp|P32688|YJBG_ECOLI	sp|P32688|YJBG_ECOLI	yjbG	yjbG
sp|P32689|YJBH_ECOLI	sp|P32689|YJBH_ECOLI	yjbH	yjbH
sp|P32690|YJBI_ECOLI	sp|P32690|YJBI_ECOLI	yjbI	yjbI
sp|P32693|YJBL_ECOLI	sp|P32693|YJBL_ECOLI	yjbL	yjbL
sp|P32694|YJBM_ECOLI	sp|P32694|YJBM_ECOLI	yjbM	yjbM
sp|P32695|DUSA_ECOLI	sp|P32695|DUSA_ECOLI	dusA	dusA
sp|P32696|PSPG_ECOLI	sp|P32696|PSPG_ECOLI	pspG	pspG
sp|P32700|YJCB_ECOLI	sp|P32700|YJCB_ECOLI	yjcB	yjcB
sp|P32701|PDEC_ECOLI	sp|P32701|PDEC_ECOLI	pdeC	pdeC
sp|P32703|YJCE_ECOLI	sp|P32703|YJCE_ECOLI	yjcE	yjcE
sp|P32704|YJCF_ECOLI	sp|P32704|YJCF_ECOLI	yjcF	yjcF
sp|P32705|ACTP_ECOLI	sp|P32705|ACTP_ECOLI	actP	actP
sp|P32709|NRFD_ECOLI	sp|P32709|NRFD_ECOLI	nrfD	nrfD
sp|P32710|NRFE_ECOLI	sp|P32710|NRFE_ECOLI	nrfE	nrfE
sp|P32711|NRFF_ECOLI	sp|P32711|NRFF_ECOLI	nrfF	nrfF
sp|P32712|NRFG_ECOLI	sp|P32712|NRFG_ECOLI	nrfG	nrfG
sp|P32714|MDTP_ECOLI	sp|P32714|MDTP_ECOLI	mdtP	mdtP
sp|P32715|MDTO_ECOLI	sp|P32715|MDTO_ECOLI	mdtO	mdtO
sp|P32716|MDTN_ECOLI	sp|P32716|MDTN_ECOLI	mdtN	mdtN
sp|P32717|YJCS_ECOLI	sp|P32717|YJCS_ECOLI	yjcS	yjcS
sp|P32718|ALSK_ECOLI	sp|P32718|ALSK_ECOLI	alsK	alsK
sp|P32719|ALSE_ECOLI	sp|P32719|ALSE_ECOLI	alsE	alsE
sp|P32720|ALSC_ECOLI	sp|P32720|ALSC_ECOLI	alsC	alsC
sp|P32721|ALSA_ECOLI	sp|P32721|ALSA_ECOLI	alsA	alsA
sp|P33011|YEEA_ECOLI	sp|P33011|YEEA_ECOLI	yeeA	yeeA
sp|P33012|SBMC_ECOLI	sp|P33012|SBMC_ECOLI	sbmC	sbmC
sp|P33013|DACD_ECOLI	sp|P33013|DACD_ECOLI	dacD	dacD
sp|P33014|YEED_ECOLI	sp|P33014|YEED_ECOLI	yeeD	yeeD
sp|P33015|YEEE_ECOLI	sp|P33015|YEEE_ECOLI	yeeE	yeeE
sp|P33018|SFGH2_ECOLI	sp|P33018|SFGH2_ECOLI	yeiG	yeiG
sp|P33020|YEII_ECOLI	sp|P33020|YEII_ECOLI	yeiI	yeiI
sp|P33021|NUPX_ECOLI	sp|P33021|NUPX_ECOLI	nupX	nupX
sp|P33022|RIHB_ECOLI	sp|P33022|RIHB_ECOLI	rihB	rihB
sp|P33024|PSUT_ECOLI	sp|P33024|PSUT_ECOLI	psuT	psuT
sp|P33025|PSUG_ECOLI	sp|P33025|PSUG_ECOLI	psuG	psuG
sp|P33026|SETB_ECOLI	sp|P33026|SETB_ECOLI	setB	setB
sp|P33029|YEIQ_ECOLI	sp|P33029|YEIQ_ECOLI	yeiQ	yeiQ
sp|P33030|YEIR_ECOLI	sp|P33030|YEIR_ECOLI	yeiR	yeiR
sp|P33128|YADV_ECOLI	sp|P33128|YADV_ECOLI	yadV	yadV
sp|P33129|HTRE_ECOLI	sp|P33129|HTRE_ECOLI	htrE	htrE
sp|P33135|FLIR_ECOLI	sp|P33135|FLIR_ECOLI	fliR	fliR
sp|P33136|OPGG_ECOLI	sp|P33136|OPGG_ECOLI	mdoG	mdoG
sp|P33195|GCSP_ECOLI	sp|P33195|GCSP_ECOLI	gcvP	gcvP
sp|P33218|YEBE_ECOLI	sp|P33218|YEBE_ECOLI	yebE	yebE
sp|P33219|YEBF_ECOLI	sp|P33219|YEBF_ECOLI	yebF	yebF
sp|P33221|PURT_ECOLI	sp|P33221|PURT_ECOLI	purT	purT
sp|P33222|YJFC_ECOLI	sp|P33222|YJFC_ECOLI	yjfC	yjfC
sp|P33224|AIDB_ECOLI	sp|P33224|AIDB_ECOLI	aidB	aidB
sp|P33225|TORA_ECOLI	sp|P33225|TORA_ECOLI	torA	torA
sp|P33226|TORC_ECOLI	sp|P33226|TORC_ECOLI	torC	torC
sp|P33227|STFE_ECOLI	sp|P33227|STFE_ECOLI	stfE	stfE
sp|P33228|RECT_ECOLI	sp|P33228|RECT_ECOLI	recT	recT
sp|P33229|RALR_ECOLI	sp|P33229|RALR_ECOLI	ralR	ralR
sp|P33230|RCBA_ECOLI	sp|P33230|RCBA_ECOLI	rcbA	rcbA
sp|P33231|LLDP_ECOLI	sp|P33231|LLDP_ECOLI	lldP	lldP
sp|P33232|LLDD_ECOLI	sp|P33232|LLDD_ECOLI	lldD	lldD
sp|P33234|ADIY_ECOLI	sp|P33234|ADIY_ECOLI	adiY	adiY
sp|P33235|FLGK_ECOLI	sp|P33235|FLGK_ECOLI	flgK	flgK
sp|P33236|MOKC_ECOLI	sp|P33236|MOKC_ECOLI	mokC	mokC
sp|P33340|YEHA_ECOLI	sp|P33340|YEHA_ECOLI	yehA	yehA
sp|P33341|YEHB_ECOLI	sp|P33341|YEHB_ECOLI	yehB	yehB
sp|P33342|YEHC_ECOLI	sp|P33342|YEHC_ECOLI	yehC	yehC
sp|P33343|YEHD_ECOLI	sp|P33343|YEHD_ECOLI	yehD	yehD
sp|P33344|YEHE_ECOLI	sp|P33344|YEHE_ECOLI	yehE	yehE
sp|P33346|YEHI_ECOLI	sp|P33346|YEHI_ECOLI	yehI	yehI
sp|P33347|YEHK_ECOLI	sp|P33347|YEHK_ECOLI	yehK	yehK
sp|P33348|YEHL_ECOLI	sp|P33348|YEHL_ECOLI	yehL	yehL
sp|P33349|YEHM_ECOLI	sp|P33349|YEHM_ECOLI	yehM	yehM
sp|P33352|YEHP_ECOLI	sp|P33352|YEHP_ECOLI	yehP	yehP
sp|P33353|YEHQ_ECOLI	sp|P33353|YEHQ_ECOLI	yehQ	yehQ
sp|P33354|YEHR_ECOLI	sp|P33354|YEHR_ECOLI	yehR	yehR
sp|P33355|YEHS_ECOLI	sp|P33355|YEHS_ECOLI	yehS	yehS
sp|P33358|MLRA_ECOLI	sp|P33358|MLRA_ECOLI	mlrA	mlrA
sp|P33359|YEHW_ECOLI	sp|P33359|YEHW_ECOLI	yehW	yehW
sp|P33360|YEHX_ECOLI	sp|P33360|YEHX_ECOLI	yehX	yehX
sp|P33361|YEHY_ECOLI	sp|P33361|YEHY_ECOLI	yehY	yehY
sp|P33362|YEHZ_ECOLI	sp|P33362|YEHZ_ECOLI	yehZ	yehZ
sp|P33363|BGLX_ECOLI	sp|P33363|BGLX_ECOLI	bglX	bglX
sp|P33366|YOHD_ECOLI	sp|P33366|YOHD_ECOLI	yohD	yohD
sp|P33368|YOHF_ECOLI	sp|P33368|YOHF_ECOLI	yohF	yohF
sp|P33369|MDTQ_ECOLI	sp|P33369|MDTQ_ECOLI	mdtQ	mdtQ
sp|P33371|DUSC_ECOLI	sp|P33371|DUSC_ECOLI	dusC	dusC
sp|P33554|PPDA_ECOLI	sp|P33554|PPDA_ECOLI	ppdA	ppdA
sp|P33570|TKT2_ECOLI	sp|P33570|TKT2_ECOLI	tktB	tktB
sp|P33590|NIKA_ECOLI	sp|P33590|NIKA_ECOLI	nikA	nikA
sp|P33591|NIKB_ECOLI	sp|P33591|NIKB_ECOLI	nikB	nikB
sp|P33593|NIKD_ECOLI	sp|P33593|NIKD_ECOLI	nikD	nikD
sp|P33594|NIKE_ECOLI	sp|P33594|NIKE_ECOLI	nikE	nikE
sp|P33595|SGRR_ECOLI	sp|P33595|SGRR_ECOLI	sgrR	sgrR
sp|P33596|RECX_ECOLI	sp|P33596|RECX_ECOLI	recX	recX
sp|P33599|NUOCD_ECOLI	sp|P33599|NUOCD_ECOLI	nuoC	nuoC
sp|P33602|NUOG_ECOLI	sp|P33602|NUOG_ECOLI	nuoG	nuoG
sp|P33607|NUOL_ECOLI	sp|P33607|NUOL_ECOLI	nuoL	nuoL
sp|P33634|YFIE_ECOLI	sp|P33634|YFIE_ECOLI	yfiE	yfiE
sp|P33643|RLUD_ECOLI	sp|P33643|RLUD_ECOLI	rluD	rluD
sp|P33644|POLOX_ECOLI	sp|P33644|POLOX_ECOLI	yfiH	yfiH
sp|P33647|CHPB_ECOLI	sp|P33647|CHPB_ECOLI	chpB	chpB
sp|P33650|FEOB_ECOLI	sp|P33650|FEOB_ECOLI	feoB	feoB
sp|P33666|YDBA_ECOLI	sp|P33666|YDBA_ECOLI	ydbA	ydbA
sp|P33667|SELU_ECOLI	sp|P33667|SELU_ECOLI	selU	selU
sp|P33668|YBBC_ECOLI	sp|P33668|YBBC_ECOLI	ybbC	ybbC
sp|P33669|YBBD_ECOLI	sp|P33669|YBBD_ECOLI	ybbD	ybbD
sp|P33913|YEJA_ECOLI	sp|P33913|YEJA_ECOLI	yejA	yejA
sp|P33915|YEJE_ECOLI	sp|P33915|YEJE_ECOLI	yejE	yejE
sp|P33916|YEJF_ECOLI	sp|P33916|YEJF_ECOLI	yejF	yejF
sp|P33919|RADD_ECOLI	sp|P33919|RADD_ECOLI	radD	radD
sp|P33920|NDPA_ECOLI	sp|P33920|NDPA_ECOLI	yejK	yejK
sp|P33924|YEJO_ECOLI	sp|P33924|YEJO_ECOLI	yejO	yejO
sp|P33927|CCMF_ECOLI	sp|P33927|CCMF_ECOLI	ccmF	ccmF
sp|P33931|CCMA_ECOLI	sp|P33931|CCMA_ECOLI	ccmA	ccmA
sp|P33934|NAPH_ECOLI	sp|P33934|NAPH_ECOLI	napH	napH
sp|P33937|NAPA_ECOLI	sp|P33937|NAPA_ECOLI	napA	napA
sp|P33940|MQO_ECOLI	sp|P33940|MQO_ECOLI	mqo	mqo
sp|P33941|YOJI_ECOLI	sp|P33941|YOJI_ECOLI	yojI	yojI
sp|P33997|ALPA_ECOLI	sp|P33997|ALPA_ECOLI	alpA	alpA
sp|P34209|YDCF_ECOLI	sp|P34209|YDCF_ECOLI	ydcF	ydcF
sp|P34749|HOFQ_ECOLI	sp|P34749|HOFQ_ECOLI	hofQ	hofQ
sp|P35340|AHPF_ECOLI	sp|P35340|AHPF_ECOLI	ahpF	ahpF
sp|P36547|EUTR_ECOLI	sp|P36547|EUTR_ECOLI	eutR	eutR
sp|P36548|AMIA_ECOLI	sp|P36548|AMIA_ECOLI	amiA	amiA
sp|P36553|HEM6_ECOLI	sp|P36553|HEM6_ECOLI	hemF	hemF
sp|P36554|MDTD_ECOLI	sp|P36554|MDTD_ECOLI	mdtD	mdtD
sp|P36560|ASR_ECOLI	sp|P36560|ASR_ECOLI	asr	asr
sp|P36561|COBS_ECOLI	sp|P36561|COBS_ECOLI	cobS	cobS
sp|P36562|COBT_ECOLI	sp|P36562|COBT_ECOLI	cobT	cobT
sp|P36566|CMOM_ECOLI	sp|P36566|CMOM_ECOLI	cmoM	cmoM
sp|P36645|HOFB_ECOLI	sp|P36645|HOFB_ECOLI	hofB	hofB
sp|P36646|HOFC_ECOLI	sp|P36646|HOFC_ECOLI	hofC	hofC
sp|P36647|PPDD_ECOLI	sp|P36647|PPDD_ECOLI	ppdD	ppdD
sp|P36649|CUEO_ECOLI	sp|P36649|CUEO_ECOLI	cueO	cueO
sp|P36655|DSBD_ECOLI	sp|P36655|DSBD_ECOLI	dsbD	dsbD
sp|P36659|CBPA_ECOLI	sp|P36659|CBPA_ECOLI	cbpA	cbpA
sp|P36661|YCCE_ECOLI	sp|P36661|YCCE_ECOLI	yccE	yccE
sp|P36662|TORD_ECOLI	sp|P36662|TORD_ECOLI	torD	torD
sp|P36667|WBBL_ECOLI	sp|P36667|WBBL_ECOLI	wbbL	wbbL
sp|P36672|PTTBC_ECOLI	sp|P36672|PTTBC_ECOLI	treB	treB
sp|P36673|TRER_ECOLI	sp|P36673|TRER_ECOLI	treR	treR
sp|P36675|ARFA_ECOLI	sp|P36675|ARFA_ECOLI	arfA	arfA
sp|P36677|YHDN_ECOLI	sp|P36677|YHDN_ECOLI	yhdN	yhdN
sp|P36678|GSPM_ECOLI	sp|P36678|GSPM_ECOLI	gspM	gspM
sp|P36680|ZAPD_ECOLI	sp|P36680|ZAPD_ECOLI	zapD	zapD
sp|P36682|YACH_ECOLI	sp|P36682|YACH_ECOLI	yacH	yacH
sp|P36683|ACNB_ECOLI	sp|P36683|ACNB_ECOLI	acnB	acnB
sp|P36767|RDGC_ECOLI	sp|P36767|RDGC_ECOLI	rdgC	rdgC
sp|P36771|LRHA_ECOLI	sp|P36771|LRHA_ECOLI	lrhA	lrhA
sp|P36837|DTPB_ECOLI	sp|P36837|DTPB_ECOLI	dtpB	dtpB
sp|P36879|YADG_ECOLI	sp|P36879|YADG_ECOLI	yadG	yadG
sp|P36881|YADI_ECOLI	sp|P36881|YADI_ECOLI	yadI	yadI
sp|P36928|YEGD_ECOLI	sp|P36928|YEGD_ECOLI	yegD	yegD
sp|P36929|RSMB_ECOLI	sp|P36929|RSMB_ECOLI	rsmB	rsmB
sp|P36930|GATR_ECOLI	sp|P36930|GATR_ECOLI	gatR	gatR
sp|P36937|KDPF_ECOLI	sp|P36937|KDPF_ECOLI	kdpF	kdpF
sp|P36938|PGM_ECOLI	sp|P36938|PGM_ECOLI	pgm	pgm
sp|P36943|EAEH_ECOLI	sp|P36943|EAEH_ECOLI	eaeH	eaeH
sp|P36979|RLMN_ECOLI	sp|P36979|RLMN_ECOLI	rlmN	rlmN
sp|P36995|CSPB_ECOLI	sp|P36995|CSPB_ECOLI	cspB	cspB
sp|P36999|RLMA_ECOLI	sp|P36999|RLMA_ECOLI	rlmA	rlmA
sp|P37001|PAGP_ECOLI	sp|P37001|PAGP_ECOLI	pagP	pagP
sp|P37002|CRCB_ECOLI	sp|P37002|CRCB_ECOLI	crcB	crcB
sp|P37003|YBFG_ECOLI	sp|P37003|YBFG_ECOLI	ybfG	ybfG
sp|P37005|LAST_ECOLI	sp|P37005|LAST_ECOLI	lasT	lasT
sp|P37007|YAGA_ECOLI	sp|P37007|YAGA_ECOLI	yagA	yagA
sp|P37008|YAGB_ECOLI	sp|P37008|YAGB_ECOLI	yagB	yagB
sp|P37009|FBPC_ECOLI	sp|P37009|FBPC_ECOLI	fbpC	fbpC
sp|P37013|NORR_ECOLI	sp|P37013|NORR_ECOLI	norR	norR
sp|P37014|RPNE_ECOLI	sp|P37014|RPNE_ECOLI	yfaD	yfaD
sp|P37016|YADK_ECOLI	sp|P37016|YADK_ECOLI	yadK	yadK
sp|P37017|YADL_ECOLI	sp|P37017|YADL_ECOLI	yadL	yadL
sp|P37018|YADM_ECOLI	sp|P37018|YADM_ECOLI	yadM	yadM
sp|P37019|CLCA_ECOLI	sp|P37019|CLCA_ECOLI	clcA	clcA
sp|P37024|HRPB_ECOLI	sp|P37024|HRPB_ECOLI	hrpB	hrpB
sp|P37025|THPR_ECOLI	sp|P37025|THPR_ECOLI	thpR	thpR
sp|P37028|BTUF_ECOLI	sp|P37028|BTUF_ECOLI	btuF	btuF
sp|P37047|CDAR_ECOLI	sp|P37047|CDAR_ECOLI	cdaR	cdaR
sp|P37049|YAEI_ECOLI	sp|P37049|YAEI_ECOLI	yaeI	yaeI
sp|P37050|YADN_ECOLI	sp|P37050|YADN_ECOLI	yadN	yadN
sp|P37051|PURU_ECOLI	sp|P37051|PURU_ECOLI	purU	purU
sp|P37052|YCHJ_ECOLI	sp|P37052|YCHJ_ECOLI	ychJ	ychJ
sp|P37056|YAEF_ECOLI	sp|P37056|YAEF_ECOLI	yaeF	yaeF
sp|P37057|OGRK_ECOLI	sp|P37057|OGRK_ECOLI	ogrK	ogrK
sp|P37095|PEPB_ECOLI	sp|P37095|PEPB_ECOLI	pepB	pepB
sp|P37127|AEGA_ECOLI	sp|P37127|AEGA_ECOLI	aegA	aegA
sp|P37128|NUDK_ECOLI	sp|P37128|NUDK_ECOLI	nudK	nudK
sp|P37146|RIR4_ECOLI	sp|P37146|RIR4_ECOLI	nrdF	nrdF
sp|P37147|FXSA_ECOLI	sp|P37147|FXSA_ECOLI	fxsA	fxsA
sp|P37177|PT1P_ECOLI	sp|P37177|PT1P_ECOLI	ptsP	ptsP
sp|P37180|HYBB_ECOLI	sp|P37180|HYBB_ECOLI	hybB	hybB
sp|P37182|HYBD_ECOLI	sp|P37182|HYBD_ECOLI	hybD	hybD
sp|P37188|PTKB_ECOLI	sp|P37188|PTKB_ECOLI	gatB	gatB
sp|P37194|SLP_ECOLI	sp|P37194|SLP_ECOLI	slp	slp
sp|P37195|DCTR_ECOLI	sp|P37195|DCTR_ECOLI	dctR	dctR
sp|P37197|YHJA_ECOLI	sp|P37197|YHJA_ECOLI	yhjA	yhjA
sp|P37305|HOKA_ECOLI	sp|P37305|HOKA_ECOLI	hokA	hokA
sp|P37306|ARCC_ECOLI	sp|P37306|ARCC_ECOLI	arcC	arcC
sp|P37309|ARSR_ECOLI	sp|P37309|ARSR_ECOLI	arsR	arsR
sp|P37313|DPPF_ECOLI	sp|P37313|DPPF_ECOLI	dppF	dppF
sp|P37325|YBCH_ECOLI	sp|P37325|YBCH_ECOLI	ybcH	ybcH
sp|P37326|INTS_ECOLI	sp|P37326|INTS_ECOLI	intS	intS
sp|P37327|YFDC_ECOLI	sp|P37327|YFDC_ECOLI	yfdC	yfdC
sp|P37329|MODA_ECOLI	sp|P37329|MODA_ECOLI	modA	modA
sp|P37330|MASZ_ECOLI	sp|P37330|MASZ_ECOLI	glcB	glcB
sp|P37338|GLAR_ECOLI	sp|P37338|GLAR_ECOLI	glaR	glaR
sp|P37339|LHGD_ECOLI	sp|P37339|LHGD_ECOLI	lhgD	lhgD
sp|P37340|MDTK_ECOLI	sp|P37340|MDTK_ECOLI	mdtK	mdtK
sp|P37342|YJJI_ECOLI	sp|P37342|YJJI_ECOLI	yjjI	yjjI
sp|P37344|PSPF_ECOLI	sp|P37344|PSPF_ECOLI	pspF	pspF
sp|P37348|YECE_ECOLI	sp|P37348|YECE_ECOLI	yecE	yecE
sp|P37349|DHAM_ECOLI	sp|P37349|DHAM_ECOLI	dhaM	dhaM
sp|P37351|RPIB_ECOLI	sp|P37351|RPIB_ECOLI	rpiB	rpiB
sp|P37353|MENE_ECOLI	sp|P37353|MENE_ECOLI	menE	menE
sp|P37355|MENH_ECOLI	sp|P37355|MENH_ECOLI	menH	menH
sp|P37387|XYLF_ECOLI	sp|P37387|XYLF_ECOLI	xylF	xylF
sp|P37388|XYLG_ECOLI	sp|P37388|XYLG_ECOLI	xylG	xylG
sp|P37440|UCPA_ECOLI	sp|P37440|UCPA_ECOLI	ucpA	ucpA
sp|P37443|YCAI_ECOLI	sp|P37443|YCAI_ECOLI	ycaI	ycaI
sp|P37590|PMRD_ECOLI	sp|P37590|PMRD_ECOLI	pmrD	pmrD
sp|P37595|IAAA_ECOLI	sp|P37595|IAAA_ECOLI	iaaA	iaaA
sp|P37596|NORW_ECOLI	sp|P37596|NORW_ECOLI	norW	norW
sp|P37597|YDHC_ECOLI	sp|P37597|YDHC_ECOLI	ydhC	ydhC
sp|P37610|TAUD_ECOLI	sp|P37610|TAUD_ECOLI	tauD	tauD
sp|P37613|PANZ_ECOLI	sp|P37613|PANZ_ECOLI	panZ	panZ
sp|P37614|YHHL_ECOLI	sp|P37614|YHHL_ECOLI	yhhL	yhhL
sp|P37615|YHHM_ECOLI	sp|P37615|YHHM_ECOLI	yhhM	yhhM
sp|P37617|ZNTA_ECOLI	sp|P37617|ZNTA_ECOLI	zntA	zntA
sp|P37619|QPTR_ECOLI	sp|P37619|QPTR_ECOLI	yhhQ	yhhQ
sp|P37621|YHHS_ECOLI	sp|P37621|YHHS_ECOLI	yhhS	yhhS
sp|P37623|ACPT_ECOLI	sp|P37623|ACPT_ECOLI	acpT	acpT
sp|P37624|RBBA_ECOLI	sp|P37624|RBBA_ECOLI	rbbA	rbbA
sp|P37626|YHII_ECOLI	sp|P37626|YHII_ECOLI	yhiI	yhiI
sp|P37627|YHIJ_ECOLI	sp|P37627|YHIJ_ECOLI	yhiJ	yhiJ
sp|P37629|YHIL_ECOLI	sp|P37629|YHIL_ECOLI	yhiL	yhiL
sp|P37630|YHIM_ECOLI	sp|P37630|YHIM_ECOLI	yhiM	yhiM
sp|P37631|YHIN_ECOLI	sp|P37631|YHIN_ECOLI	yhiN	yhiN
sp|P37634|RLMJ_ECOLI	sp|P37634|RLMJ_ECOLI	rlmJ	rlmJ
sp|P37635|YHIS_ECOLI	sp|P37635|YHIS_ECOLI	yhiS	yhiS
sp|P37636|MDTE_ECOLI	sp|P37636|MDTE_ECOLI	mdtE	mdtE
sp|P37637|MDTF_ECOLI	sp|P37637|MDTF_ECOLI	mdtF	mdtF
sp|P37639|GADX_ECOLI	sp|P37639|GADX_ECOLI	gadX	gadX
sp|P37640|YHJB_ECOLI	sp|P37640|YHJB_ECOLI	yhjB	yhjB
