Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Annotation	Gene names  (primary )	Gene names  (ordered locus )
P0ADI1	PINR_ECOL6	reviewed	Putative DNA-invertase from lambdoid prophage Rac	pinR c3146	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	196	2 out of 5	pinR	c3146
A0A0H2VBA7	A0A0H2VBA7_ECOL6	unreviewed	PioO protein	pinO c4093	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	140	1 out of 5	pinO	c4093
P62606	FIM1C_ECOL6	reviewed	Type-1 fimbrial protein, C chain (Type-1C pilin)	pilC focA c1239	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	180	2 out of 5	pilC	c1239
Q8CWC7	PIC_ECOL6	reviewed	Serine protease pic autotransporter (EC 3.4.21.-) [Cleaved into: Serine protease pic; Serine protease pic translocator]	pic she c0350	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	1371	4 out of 5	pic	c0350
A0A0H2V5B5	A0A0H2V5B5_ECOL6	unreviewed	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	phrB c0787	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	472	1 out of 5	phrB	c0787
A0A0H2V556	A0A0H2V556_ECOL6	unreviewed	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.-)	phpB c0729	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	204	1 out of 5	phpB	c0729
Q8FBT8	PHOU_ECOL6	reviewed	Phosphate-specific transport system accessory protein PhoU (Pst system accessory protein PhoU) (Negative regulator of Pho regulon)	phoU c4648	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	247	4 out of 5	phoU	c4648
A0A0H2V5G6	A0A0H2V5G6_ECOL6	unreviewed	Phosphate regulon sensor protein phoR (EC 2.7.3.-)	phoR c0509	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	431	2 out of 5	phoR	c0509
Q8FIB8	PHOQ_ECOL6	reviewed	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ c1508	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	486	4 out of 5	phoQ	c1508
Q8CXZ9	PHOP_ECOL6	reviewed	Transcriptional regulatory protein PhoP	phoP c1509	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	223	2 out of 5	phoP	c1509
A0A0H2V5V6	A0A0H2V5V6_ECOL6	unreviewed	PhoH protein	phoH c1159	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	307	1 out of 5	phoH	c1159
A0A0H2V6J4	A0A0H2V6J4_ECOL6	unreviewed	Outer membrane pore protein E	phoE c0388	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	353	2 out of 5	phoE	c0388
A0A0H2V4S2	A0A0H2V4S2_ECOL6	unreviewed	Phosphate regulon transcriptional Regulatory protein phoB	phoB c0508	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	229	1 out of 5	phoB	c0508
A0A0H2V6T6	A0A0H2V6T6_ECOL6	unreviewed	Alkaline phosphatase (EC 3.1.3.1)	phoA c0490	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	494	1 out of 5	phoA	c0490
A0A0H2VEU2	A0A0H2VEU2_ECOL6	unreviewed	PhnP protein	phnP c5098	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	252	1 out of 5	phnP	c5098
A0A0H2VD58	A0A0H2VD58_ECOL6	unreviewed	PhnO protein	phnO c5099	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	144	1 out of 5	phnO	c5099
A0A0H2VDI9	A0A0H2VDI9_ECOL6	unreviewed	PhnM protein	phnM c5101	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	378	1 out of 5	phnM	c5101
A0A0H2VFV6	A0A0H2VFV6_ECOL6	unreviewed	Phosphonates transport ATP-binding protein phnL	phnL c5102	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	226	1 out of 5	phnL	c5102
A0A0H2VDA1	A0A0H2VDA1_ECOL6	unreviewed	Phosphonates transport ATP-binding protein phnK	phnK c5103	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	262	1 out of 5	phnK	c5103
A0A0H2VEU7	A0A0H2VEU7_ECOL6	unreviewed	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1)	phnJ c5104	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	309	2 out of 5	phnJ	c5104
A0A0H2VD61	A0A0H2VD61_ECOL6	unreviewed	PhnI protein	phnI c5105	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	356	1 out of 5	phnI	c5105
A0A0H2VDJ3	A0A0H2VDJ3_ECOL6	unreviewed	PhnH protein	phnH c5106	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	194	1 out of 5	phnH	c5106
A0A0H2VFW1	A0A0H2VFW1_ECOL6	unreviewed	PhnG protein	phnG c5107	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	150	1 out of 5	phnG	c5107
A0A0H2VDA6	A0A0H2VDA6_ECOL6	unreviewed	Probable transcriptional regulator phnF	phnF c5108	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	244	1 out of 5	phnF	c5108
A0A0H2VEU9	A0A0H2VEU9_ECOL6	unreviewed	Membrane channel protein component of Pn transporter	phnE c5109	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	280	1 out of 5	phnE	c5109
A0A0H2VD66	A0A0H2VD66_ECOL6	unreviewed	Phosphonates-binding periplasmic protein	phnD c5110	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	338	1 out of 5	phnD	c5110
Q8FAV1	PHNC_ECOL6	reviewed	Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2)	phnC c5111	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	262	2 out of 5	phnC	c5111
A0A0H2VDJ8	A0A0H2VDJ8_ECOL6	unreviewed	PhnB protein	phnB c5112	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	147	1 out of 5	phnB	c5112
P59664	SYFB_ECOL6	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT c2110/c2111	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	795	3 out of 5	pheT	c2110/c2111
P67036	SYFA_ECOL6	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS c2112	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	327	3 out of 5	pheS	c2112
A0A0H2V5P9	A0A0H2V5P9_ECOL6	unreviewed	Phenylalanine-specific permease	pheP c0662	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	472	1 out of 5	pheP	c0662
P0AD75	LPF2_ECOL6	reviewed	Phenylalanyl--tRNA ligase operon leader peptide (pheST attenuator peptide)	pheM c5495	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	14	1 out of 5	pheM	c5495
A0A0H2V9N8	A0A0H2V9N8_ECOL6	unreviewed	Phe leader peptide	pheL c5497	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	15	1 out of 5	pheL	c5497
A0A0H2VB53	A0A0H2VB53_ECOL6	unreviewed	p-protein	pheA c3120	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	386	2 out of 5	pheA	c3120
A0A0H2VDC3	A0A0H2VDC3_ECOL6	unreviewed	Transporter protein	pgtP c5201	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	454	1 out of 5	pgtP	c5201
A0A0H2VDQ6	A0A0H2VDQ6_ECOL6	unreviewed	Regulatory protein	pgtC c5202	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	435	1 out of 5	pgtC	c5202
A0A0H2VG36	A0A0H2VG36_ECOL6	unreviewed	Histidine kinase (EC 2.7.13.3)	pgtB c5203	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	669	2 out of 5	pgtB	c5203
A0A0H2VDI2	A0A0H2VDI2_ECOL6	unreviewed	Transport activator	pgtA c5204	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	418	1 out of 5	pgtA	c5204
P0ABF9	PGSA_ECOL6	reviewed	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	pgsA c2325	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	182	3 out of 5	pgsA	c2325
A0A0H2V717	A0A0H2V717_ECOL6	unreviewed	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	pgpB c1747	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	254	1 out of 5	pgpB	c1747
A0A0H2V4T2	A0A0H2V4T2_ECOL6	unreviewed	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A)	pgpA c0529	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	172	2 out of 5	pgpA	c0529
A0A0H2V590	A0A0H2V590_ECOL6	unreviewed	Phosphoglucomutase (EC 5.4.2.2)	pgm c0775	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	563	1 out of 5	pgm	c0775
Q8FJR2	6PGL_ECOL6	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl c0844	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	331	2 out of 5	pgl	c0844
P0A7A0	PGK_ECOL6	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk c3504	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	387	3 out of 5	pgk	c3504
Q8FB44	G6PI_ECOL6	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi c4991	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	549	3 out of 5	pgi	c4991
A0A0H2VCY5	A0A0H2VCY5_ECOL6	unreviewed	Formate acetyltransferase 2 (EC 2.3.1.54)	pflD c4910	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	765	1 out of 5	pflD	c4910
A0A0H2VEJ3	A0A0H2VEJ3_ECOL6	unreviewed	Pyruvate formate-lyase 2 activating enzyme (EC 1.97.1.4)	pflC c4911	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	292	1 out of 5	pflC	c4911
P0A9N5	PFLA_ECOL6	reviewed	Pyruvate formate-lyase 1-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 1) (PFL-activating enzyme 1)	pflA c1038	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	246	3 out of 5	pflA	c1038
A0A0H2V7Q1	A0A0H2V7Q1_ECOL6	unreviewed	Phosphofructokinase	pfkB c2121	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	310	1 out of 5	pfkB	c2121
Q8FBD0	PFKA_ECOL6	reviewed	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I)	pfkA c4867	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	320	4 out of 5	pfkA	c4867
A0A0H2VAW7	A0A0H2VAW7_ECOL6	unreviewed	Putative permease perM	perM c3009	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	353	1 out of 5	perM	c3009
P65803	PEPT_ECOL6	reviewed	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT c1479	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	408	3 out of 5	pepT	c1479
Q8FBI1	PEPQ_ECOL6	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ c4794	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	443	2 out of 5	pepQ	c4794
A0A0H2VAJ0	A0A0H2VAJ0_ECOL6	unreviewed	Xaa-Pro aminopeptidase (EC 3.4.11.9)	pepP c3490	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	441	1 out of 5	pepP	c3490
A0A0H2V7W8	A0A0H2V7W8_ECOL6	unreviewed	Aminopeptidase N (EC 3.4.11.2)	pepN c1075	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	870	1 out of 5	pepN	c1075
Q8FB55	PEPE_ECOL6	reviewed	Peptidase E (EC 3.4.13.21) (Alpha-aspartyl dipeptidase) (Asp-specific dipeptidase) (Dipeptidase E)	pepE c4980	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	229	2 out of 5	pepE	c4980
A0A0H2V4K9	A0A0H2V4K9_ECOL6	unreviewed	Aminoacyl-histidine dipeptidase	pepD c0383	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	485	1 out of 5	pepD	c0383
Q8FF47	PEPB_ECOL6	reviewed	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	pepB c3048	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	427	3 out of 5	pepB	c3048
P68766	AMPA_ECOL6	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA carP xerB c5360	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	503	3 out of 5	pepA	c5360
Q8FH89	PDXY_ECOL6	reviewed	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35)	pdxY c2028	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	287	3 out of 5	pdxY	c2028
Q8FFB5	PDXK_ECOL6	reviewed	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase)	pdxK c2953	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	283	4 out of 5	pdxK	c2953
Q8FF18	PDXJ_ECOL6	reviewed	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ c3088	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	243	3 out of 5	pdxJ	c3088
Q8FH87	PDXH_ECOL6	reviewed	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH c2030	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	218	3 out of 5	pdxH	c2030
Q8FFH2	PDXB_ECOL6	reviewed	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB c2865	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	378	3 out of 5	pdxB	c2865
Q8FL95	PDXA_ECOL6	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA c0065	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	329	3 out of 5	pdxA	c0065
P0ACM0	PDHR_ECOL6	reviewed	Pyruvate dehydrogenase complex repressor	pdhR c0140	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	254	2 out of 5	pdhR	c0140
P0ABF2	PCNB_ECOL6	reviewed	Poly(A) polymerase I (PAP I) (EC 2.7.7.19)	pcnB c0176	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	465	2 out of 5	pcnB	c0176
Q8FEJ8	PIMT_ECOL6	reviewed	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm c3310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	208	3 out of 5	pcm	c3310
Q8FCU4	PCKA_ECOL6	reviewed	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA c4176	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	540	3 out of 5	pckA	c4176
A0A0H2VB63	A0A0H2VB63_ECOL6	unreviewed	Penicillin-binding protein 7	pbpG c2665	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	313	1 out of 5	pbpG	c2665
A0A0H2VAY7	A0A0H2VAY7_ECOL6	unreviewed	Penicillin-binding protein 1C	pbpC c3042	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	770	1 out of 5	pbpC	c3042
Q8FHK7	ABDH_ECOL6	reviewed	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	patD c1869	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	474	4 out of 5	patD	c1869
Q8FDF5	PAT_ECOL6	reviewed	Putrescine aminotransferase (PAT) (PATase) (EC 2.6.1.82) (Cadaverine transaminase) (Diamine transaminase) (EC 2.6.1.29) (Putrescine transaminase) (Putrescine--2-oxoglutaric acid transaminase)	patA c3828	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	459	4 out of 5	patA	c3828
Q8FEY4	PAST_ECOL6	reviewed	Persistence and stress-resistance toxin PasT (Ribosome association toxin RatA)	pasT ratA yfjG c3141	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	158	3 out of 5	pasT	c3141
Q8FEY5	PASI_ECOL6	reviewed	Persistence and stress-resistance antitoxin PasI (Antitoxin PasI) (UPF0125 protein PasI)	pasI ratB yfjF c3140	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	96	3 out of 5	pasI	c3140
A0A0H2VAY2	A0A0H2VAY2_ECOL6	unreviewed	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE c3776	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	630	3 out of 5	parE	c3776
A0A0H2VAX1	A0A0H2VAX1_ECOL6	unreviewed	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC c3760	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	752	3 out of 5	parC	c3760
A0A0H2VAG1	A0A0H2VAG1_ECOL6	unreviewed	PapX protein	papX c3582	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	183	1 out of 5	papX	c3582
P62533	PAPK_ECOL6	reviewed	Fimbrial adapter PapK	papK c3586; papK2 c5182	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	178	2 out of 5	papK; papK2	c3586; c5182
A0A0H2VDA9	A0A0H2VDA9_ECOL6	unreviewed	PapJ protein	papJ_2 papJ c3588 c5184	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	193	1 out of 5	papJ_2	c3588 c5184
A0A0H2VC30	A0A0H2VC30_ECOL6	unreviewed	PapI protein	papI c3593	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	77	1 out of 5	papI	c3593
A0A0H2VDH0	A0A0H2VDH0_ECOL6	unreviewed	PapH protein	papH_2 papH c3591 c5187	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	195	1 out of 5	papH_2	c3591 c5187
A0A0H2VDP3	A0A0H2VDP3_ECOL6	unreviewed	PapG protein	papG_2 c5179	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	336	1 out of 5	papG_2	c5179
A0A0H2VAQ6	A0A0H2VAQ6_ECOL6	unreviewed	PapG protein	papG c3583	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	336	1 out of 5	papG	c3583
A0A0H2VD03	A0A0H2VD03_ECOL6	unreviewed	PapF protein	papF papF_2 c3584 c5180	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	176	1 out of 5	papF	c3584 c5180
A0A0H2VDG4	A0A0H2VDG4_ECOL6	unreviewed	PapE protein	papE_2 papE c3585 c5181	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	179	1 out of 5	papE_2	c3585 c5181
A0A0H2VDP6	A0A0H2VDP6_ECOL6	unreviewed	PapD protein	papD_2 c5185	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	244	1 out of 5	papD_2	c5185
A0A0H2VAR1	A0A0H2VAR1_ECOL6	unreviewed	PapD protein	papD c3589	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	201	1 out of 5	papD	c3589
A0A0H2VG26	A0A0H2VG26_ECOL6	unreviewed	PapC protein	papC_2 c5186	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	843	1 out of 5	papC_2	c5186
A0A0H2VD09	A0A0H2VD09_ECOL6	unreviewed	PapC protein	papC c3590	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	840	1 out of 5	papC	c3590
A0A0H2VF07	A0A0H2VF07_ECOL6	unreviewed	PapA protein	papA_2 c5188	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	198	1 out of 5	papA_2	c5188
A0A0H2VBL9	A0A0H2VBL9_ECOL6	unreviewed	Sodium/pantothenate symporter	panF c4023	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	485	1 out of 5	panF	c4023
P0A791	PAND_ECOL6	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD c0160	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	126	3 out of 5	panD	c0160
Q8FL31	PANC_ECOL6	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC c0164	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	283	3 out of 5	panC	c0164
Q8FL30	PANB_ECOL6	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB c0165	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	264	3 out of 5	panB	c0165
A0A0H2V5B1	A0A0H2V5B1_ECOL6	unreviewed	Peptidoglycan-associated protein	pal c0821	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	181	2 out of 5	pal	c0821
Q8FJZ7	PAGP_ECOL6	reviewed	Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein)	pagP crcA c0713	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	186	3 out of 5	pagP	c0713
A0A0H2V696	A0A0H2V696_ECOL6	unreviewed	4-amino-4-deoxychorismate lyase (EC 4.-.-.-)	pabC c1366	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	260	1 out of 5	pabC	c1366
A0A0H2V992	A0A0H2V992_ECOL6	unreviewed	Para-aminobenzoate synthase component I (EC 4.1.3.-)	pabB c2217	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	453	1 out of 5	pabB	c2217
A0A0H2VE29	A0A0H2VE29_ECOL6	unreviewed	Para-aminobenzoate synthase glutamine amidotransferase component II (EC 4.1.3.-)	pabA c4135	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	187	1 out of 5	pabA	c4135
P0ACQ5	OXYR_ECOL6	reviewed	Hydrogen peroxide-inducible genes activator (Morphology and auto-aggregation control protein)	oxyR c4922	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	305	3 out of 5	oxyR	c4922
A0A0H2VAC6	A0A0H2VAC6_ECOL6	unreviewed	Trehalose 6-phosphate phosphatase (EC 3.1.3.12)	otsB c2311	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	285	2 out of 5	otsB	c2311
Q8FGN6	OTSA_ECOL6	reviewed	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)	otsA c2310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	474	3 out of 5	otsA	c2310
A0A0H2VA12	OTNC_ECOL6	reviewed	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	otnC c3299	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	212	3 out of 5	otnC	c3299
P0AFH9	OSMY_ECOL6	reviewed	Osmotically-inducible protein Y	osmY c5457	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	201	2 out of 5	osmY	c5457
A0A0H2V7T2	A0A0H2V7T2_ECOL6	unreviewed	Osmotically inducible lipoprotein E	osmE c2138	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	112	1 out of 5	osmE	c2138
A0A0H2V7B8	A0A0H2V7B8_ECOL6	unreviewed	Osmotically inducible protein C	osmC c1916	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	143	1 out of 5	osmC	c1916
P0ADA8	OSMB_ECOL6	reviewed	Osmotically-inducible lipoprotein B	osmB c1753	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	72	2 out of 5	osmB	c1753
P64454	ORTT_ECOL6	reviewed	Orphan toxin OrtT	ortT c1870	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	57	2 out of 5	ortT	c1870
P0A785	ORN_ECOL6	reviewed	Oligoribonuclease (EC 3.1.-.-)	orn c5249	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	181	3 out of 5	orn	c5249
A0A0H2V7D3	A0A0H2V7D3_ECOL6	unreviewed	Hypothetical transcriptional regulator ycjZ	oprR c1938	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	315	1 out of 5	oprR	c1938
A0A0H2V854	A0A0H2V854_ECOL6	unreviewed	Oligopeptide transport ATP-binding protein oppF	oppF c1711	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	334	1 out of 5	oppF	c1711
A0A0H2V700	A0A0H2V700_ECOL6	unreviewed	Oligopeptide transport ATP-binding protein oppD	oppD c1710	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	337	1 out of 5	oppD	c1710
A0A0H2V993	A0A0H2V993_ECOL6	unreviewed	Oligopeptide transport system permease protein oppC	oppC c1709	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	302	1 out of 5	oppC	c1709
